subj_id,gender,age_group,age,age_centered,tom_aggregate,perspective_aggregate,desires,knowledge,content,explicit,turtle,worm,tango_mean,magnet_mean
LoHKwK4o,m,4,4.97,0.98,3,1,1,0,0,1,0,1,2.92,1.63
tmLpbto9,f,4,4.69,0.7,2,0,1,1,0,0,0,0,1.67,2.09
xPb2D2aR,m,4,4.47,0.48,2,2,0,0,0,0,1,1,1.12,1.33
gt1zRhtm,f,4,4.17,0.18,5,2,1,1,1,0,1,1,1.3,2.06
mitR8N41,f,4,4.14,0.15,3,1,1,0,0,1,0,1,2.49,1.73
Lq8nRobQ,f,4,4.07,0.08,3,2,0,0,0,1,1,1,2.74,3.07
15BCs5sf,m,4,4.04,0.05,2,1,1,0,0,0,0,1,1.15,1.24
B8tRXosR,f,4,4.7,0.71,6,2,1,1,1,1,1,1,1.33,0.99
gWfqSFWW,m,4,4.93,0.94,5,2,0,1,1,1,1,1,2,3.17
SP8a9Kex,m,4,4.26,0.27,3,0,1,1,0,1,0,0,2.6,1.33
7Z9J6EbX,m,4,4.06,0.07,0,0,0,0,0,0,0,0,2.35,1.72
MFCZ7c5J,f,4,4.22,0.23,0,0,0,0,0,0,0,0,2.08,3.16
Ag1kT3No,m,4,4.01,0.02,4,2,1,0,0,1,1,1,2.12,2.98
YoRxBf7J,f,4,4.41,0.42,1,0,1,0,0,0,0,0,4.04,3.07
fuTukGDp,f,4,4.98,0.99,3,1,1,0,0,1,0,1,1.5,0.92
XgYt4Qp5,f,4,4.97,0.98,4,2,1,1,0,0,1,1,0.83,1.43
bXhTfL5P,f,4,4.11,0.12,3,1,0,0,1,1,0,1,3.22,5.83
8PiWYEf8,f,4,4.8,0.81,2,1,0,1,0,0,0,1,1.28,1.6
AXEFt3Yt,f,4,4.77,0.78,3,2,1,0,0,0,1,1,1.5,1.8
4F4YGrQQ,m,4,4.47,0.48,6,2,1,1,1,1,1,1,2.89,2.89
MTdmN9y5,m,4,4.41,0.42,4,2,1,0,1,0,1,1,1.7,1.9
iULxWqDZ,m,4,4.63,0.64,6,2,1,1,1,1,1,1,2.65,1.18
fp6pyVoM,f,4,4.78,0.79,3,2,0,1,0,0,1,1,1.25,1.72
Wg6KrZ7s,NA,4,4.71,0.72,4,2,1,1,0,0,1,1,1.44,1.68
uLCuZzA9,f,4,4.24,0.25,3,2,1,0,0,0,1,1,1.43,0.82
HE88QXpq,f,4,4.17,0.18,2,0,1,1,0,0,0,0,2.6,3.07
eKiSEiQb,m,4,4.01,0.02,5,2,1,1,0,1,1,1,1.49,2.07
X2AnEPVA,m,4,4.31,0.32,4,2,0,1,1,0,1,1,1.78,1.54
eDUobkJJ,f,4,4.04,0.05,2,0,1,1,0,0,0,0,2.02,2.05
