subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,magnet_bin,magnet_center_x,magnet_center_y,magnet_centrality_x,click_scaled_x,click_dist_from_magnet_center_x,click_dist_magnets
15BCs5sf,m,4,4.04,0.05,5,4,9,1529.64,126.66,569.64,1565.33,35.7,0.22
15BCs5sf,m,4,4.04,0.05,6,5,1,165.42,126.66,794.58,684,518.58,3.24
15BCs5sf,m,4,4.04,0.05,7,3,8,1389.61,126.66,429.61,1489.33,99.72,0.62
15BCs5sf,m,4,4.04,0.05,8,1,5,901.62,126.66,58.38,956,54.38,0.34
15BCs5sf,m,4,4.04,0.05,9,2,7,1248.34,126.66,288.34,1538.67,290.32,1.81
15BCs5sf,m,4,4.04,0.05,10,2,4,675.64,126.66,284.36,772,96.36,0.6
15BCs5sf,m,4,4.04,0.05,11,4,2,379.39,126.66,580.61,726.67,347.28,2.17
15BCs5sf,m,4,4.04,0.05,12,3,3,588.98,126.66,371.02,557.33,-31.64,0.2
15BCs5sf,m,4,4.04,0.05,13,5,10,1831,126.66,871,1418.67,-412.33,2.58
15BCs5sf,m,4,4.04,0.05,14,3,3,588.98,126.66,371.02,770.67,181.69,1.14
15BCs5sf,m,4,4.04,0.05,15,1,6,975,126.66,15,1000,25,0.16
15BCs5sf,m,4,4.04,0.05,16,4,2,379.39,126.66,580.61,570.67,191.28,1.2
15BCs5sf,m,4,4.04,0.05,17,5,1,165.42,126.66,794.58,650.67,485.25,3.03
15BCs5sf,m,4,4.04,0.05,18,3,8,1389.61,126.66,429.61,1309.33,-80.28,0.5
15BCs5sf,m,4,4.04,0.05,19,4,9,1529.64,126.66,569.64,1405.33,-124.3,0.78
22cDu9Qf,f,4,4.98,0.99,5,1,6,1122.11,126.66,162.11,1030.67,-91.45,0.57
22cDu9Qf,f,4,4.98,0.99,6,2,4,612.9,126.66,347.1,772,159.1,0.99
22cDu9Qf,f,4,4.98,0.99,7,2,7,1185.77,126.66,225.77,1105.33,-80.44,0.5
22cDu9Qf,f,4,4.98,0.99,8,5,10,1792.87,126.66,832.87,1430.67,-362.2,2.26
22cDu9Qf,f,4,4.98,0.99,9,5,1,233.79,126.66,726.21,637.33,403.54,2.52
22cDu9Qf,f,4,4.98,0.99,10,1,5,811.39,126.66,148.61,858.67,47.28,0.3
22cDu9Qf,f,4,4.98,0.99,11,4,9,1518.02,126.66,558.02,1293.33,-224.69,1.4
22cDu9Qf,f,4,4.98,0.99,12,3,8,1421.38,126.66,461.38,1272,-149.38,0.93
22cDu9Qf,f,4,4.98,0.99,13,3,3,491.28,126.66,468.72,768,276.72,1.73
22cDu9Qf,f,4,4.98,0.99,14,4,2,334.65,126.66,625.35,709.33,374.69,2.34
22cDu9Qf,f,4,4.98,0.99,15,3,3,491.28,126.66,468.72,654.67,163.39,1.02
22cDu9Qf,f,4,4.98,0.99,16,5,1,233.79,126.66,726.21,638.67,404.87,2.53
22cDu9Qf,f,4,4.98,0.99,17,4,9,1518.02,126.66,558.02,1361.33,-156.69,0.98
22cDu9Qf,f,4,4.98,0.99,18,3,8,1421.38,126.66,461.38,1449.33,27.95,0.17
22cDu9Qf,f,4,4.98,0.99,19,5,10,1792.87,126.66,832.87,1573.33,-219.53,1.37
2gCcBvW4,f,4,4.73,0.74,5,5,1,182.52,126.66,777.48,341.33,158.82,0.99
2gCcBvW4,f,4,4.73,0.74,6,2,4,679.77,126.66,280.23,1013.33,333.57,2.08
2gCcBvW4,f,4,4.73,0.74,7,2,7,1206.8,126.66,246.8,1180,-26.8,0.17
2gCcBvW4,f,4,4.73,0.74,8,4,9,1642.31,126.66,682.31,1388,-254.31,1.59
2gCcBvW4,f,4,4.73,0.74,9,4,2,330.09,126.66,629.91,686.67,356.57,2.23
2gCcBvW4,f,4,4.73,0.74,10,5,10,1793.19,126.66,833.19,1340,-453.19,2.83
2gCcBvW4,f,4,4.73,0.74,11,1,6,973.72,126.66,13.72,1005.33,31.62,0.2
2gCcBvW4,f,4,4.73,0.74,12,3,8,1452.15,126.66,492.15,1216,-236.15,1.48
2gCcBvW4,f,4,4.73,0.74,13,3,3,496.06,126.66,463.94,730.67,234.61,1.47
2gCcBvW4,f,4,4.73,0.74,14,3,3,496.06,126.66,463.94,849.33,353.27,2.21
2gCcBvW4,f,4,4.73,0.74,15,2,4,679.77,126.66,280.23,868,188.23,1.18
2gCcBvW4,f,4,4.73,0.74,16,4,2,330.09,126.66,629.91,689.33,359.24,2.25
2gCcBvW4,f,4,4.73,0.74,17,5,1,182.52,126.66,777.48,572,389.48,2.43
2gCcBvW4,f,4,4.73,0.74,18,1,5,957.74,126.66,2.26,1054.67,96.92,0.61
2gCcBvW4,f,4,4.73,0.74,19,3,8,1452.15,126.66,492.15,1288,-164.15,1.03
2ZvXrAYs,f,4,4.93,0.94,5,3,8,1377.95,126.66,417.95,1084,-293.95,1.84
2ZvXrAYs,f,4,4.93,0.94,6,1,5,893.86,126.66,66.14,949.33,55.47,0.35
2ZvXrAYs,f,4,4.93,0.94,7,2,4,654.18,126.66,305.82,822.67,168.49,1.05
2ZvXrAYs,f,4,4.93,0.94,8,4,2,311.82,126.66,648.18,618.67,306.84,1.92
2ZvXrAYs,f,4,4.93,0.94,9,1,6,973.32,126.66,13.32,925.33,-47.99,0.3
2ZvXrAYs,f,4,4.93,0.94,10,4,9,1529.15,126.66,569.15,1133.33,-395.82,2.47
2ZvXrAYs,f,4,4.93,0.94,11,5,10,1764.74,126.66,804.74,1265.33,-499.41,3.12
2ZvXrAYs,f,4,4.93,0.94,12,5,1,81.1,126.66,878.9,620,538.9,3.37
2ZvXrAYs,f,4,4.93,0.94,13,2,7,1236.87,126.66,276.87,1060,-176.87,1.11
2ZvXrAYs,f,4,4.93,0.94,14,4,9,1529.15,126.66,569.15,1162.67,-366.48,2.29
2ZvXrAYs,f,4,4.93,0.94,15,1,6,973.32,126.66,13.32,976,2.68,0.02
2ZvXrAYs,f,4,4.93,0.94,16,5,10,1764.74,126.66,804.74,1204,-560.74,3.5
2ZvXrAYs,f,4,4.93,0.94,17,2,7,1236.87,126.66,276.87,1089.33,-147.54,0.92
2ZvXrAYs,f,4,4.93,0.94,18,2,4,654.18,126.66,305.82,697.33,43.16,0.27
2ZvXrAYs,f,4,4.93,0.94,19,4,2,311.82,126.66,648.18,673.33,361.51,2.26
3XTSb9Fm,m,3,3.99,0,5,4,9,1652.63,126.66,692.63,669.33,-983.3,6.15
3XTSb9Fm,m,3,3.99,0,6,2,4,742.8,126.66,217.2,750.67,7.86,0.05
3XTSb9Fm,m,3,3.99,0,7,2,7,1264.57,126.66,304.57,708,-556.57,3.48
3XTSb9Fm,m,3,3.99,0,8,4,2,400.72,126.66,559.28,709.33,308.62,1.93
3XTSb9Fm,m,3,3.99,0,9,5,10,1774.6,126.66,814.6,808,-966.6,6.04
3XTSb9Fm,m,3,3.99,0,10,3,3,526.28,126.66,433.72,841.33,315.06,1.97
3XTSb9Fm,m,3,3.99,0,11,5,1,202.01,126.66,757.99,850.67,648.65,4.05
3XTSb9Fm,m,3,3.99,0,12,1,6,1116.41,126.66,156.41,886.67,-229.75,1.44
3XTSb9Fm,m,3,3.99,0,13,1,5,937.78,126.66,22.22,880,-57.78,0.36
3XTSb9Fm,m,3,3.99,0,14,2,7,1264.57,126.66,304.57,954.67,-309.91,1.94
3XTSb9Fm,m,3,3.99,0,15,5,1,202.01,126.66,757.99,1016,813.99,5.09
3XTSb9Fm,m,3,3.99,0,16,3,8,1407,126.66,447,994.67,-412.33,2.58
3XTSb9Fm,m,3,3.99,0,17,3,3,526.28,126.66,433.72,958.67,432.39,2.7
3XTSb9Fm,m,3,3.99,0,18,1,6,1116.41,126.66,156.41,1213.33,96.92,0.61
3XTSb9Fm,m,3,3.99,0,19,4,2,400.72,126.66,559.28,1325.33,924.62,5.78
4F4YGrQQ,m,4,4.47,0.48,5,3,8,1336.19,126.66,376.19,1806.67,470.48,2.94
4F4YGrQQ,m,4,4.47,0.48,6,1,5,848.89,126.66,111.11,277.33,-571.56,3.57
4F4YGrQQ,m,4,4.47,0.48,7,5,1,241.35,126.66,718.65,300,58.65,0.37
4F4YGrQQ,m,4,4.47,0.48,8,2,7,1250.64,126.66,290.64,321.33,-929.31,5.81
4F4YGrQQ,m,4,4.47,0.48,9,1,6,1120.65,126.66,160.65,292,-828.65,5.18
4F4YGrQQ,m,4,4.47,0.48,10,2,4,712.58,126.66,247.42,409.33,-303.24,1.9
4F4YGrQQ,m,4,4.47,0.48,11,4,2,377.93,126.66,582.07,817.33,439.41,2.75
4F4YGrQQ,m,4,4.47,0.48,12,2,7,1174.44,126.66,214.44,1185.33,10.9,0.07
4F4YGrQQ,m,4,4.47,0.48,13,2,4,723.22,126.66,236.78,1308,584.78,3.65
4F4YGrQQ,m,4,4.47,0.48,14,4,9,1531.71,126.66,571.71,1198.67,-333.04,2.08
4F4YGrQQ,m,4,4.47,0.48,15,1,6,1029.38,126.66,69.38,1072,42.62,0.27
4F4YGrQQ,m,4,4.47,0.48,16,2,4,723.22,126.66,236.78,1217.33,494.11,3.09
4F4YGrQQ,m,4,4.47,0.48,17,3,3,481.93,126.66,478.07,1420,938.07,5.86
4F4YGrQQ,m,4,4.47,0.48,18,5,10,1735.02,126.66,775.02,1473.33,-261.68,1.64
4F4YGrQQ,m,4,4.47,0.48,19,1,5,846.32,126.66,113.68,1525.33,679.01,4.24
5BNhW1cv,m,4,4.86,0.87,5,2,7,1201.43,126.66,241.43,1201.33,-0.1,0
5BNhW1cv,m,4,4.86,0.87,6,1,6,1111.6,126.66,151.6,1120,8.4,0.05
5BNhW1cv,m,4,4.86,0.87,7,4,2,382.32,126.66,577.68,813.33,431.01,2.69
5BNhW1cv,m,4,4.86,0.87,8,3,8,1339.17,126.66,379.17,1152,-187.17,1.17
5BNhW1cv,m,4,4.86,0.87,9,5,1,147.16,126.66,812.84,836,688.84,4.31
5BNhW1cv,m,4,4.86,0.87,10,4,9,1638.64,126.66,678.64,1149.33,-489.3,3.06
5BNhW1cv,m,4,4.86,0.87,11,3,3,539.44,126.66,420.56,772,232.56,1.45
5BNhW1cv,m,4,4.86,0.87,12,2,4,643.64,126.66,316.36,746.67,103.02,0.64
5BNhW1cv,m,4,4.86,0.87,13,5,10,1839.05,126.66,879.05,1198.67,-640.39,4
5BNhW1cv,m,4,4.86,0.87,14,2,4,643.64,126.66,316.36,848,204.36,1.28
5BNhW1cv,m,4,4.86,0.87,15,1,5,798.77,126.66,161.23,900,101.23,0.63
5BNhW1cv,m,4,4.86,0.87,16,4,9,1638.64,126.66,678.64,1128,-510.64,3.19
5BNhW1cv,m,4,4.86,0.87,17,3,8,1339.17,126.66,379.17,1198.67,-140.5,0.88
5BNhW1cv,m,4,4.86,0.87,18,2,7,1201.43,126.66,241.43,1194.67,-6.77,0.04
5BNhW1cv,m,4,4.86,0.87,19,4,2,382.32,126.66,577.68,773.33,391.01,2.44
6UCFCeTi,m,4,4.31,0.32,5,5,10,1668.82,126.66,708.82,1261.33,-407.49,2.55
6UCFCeTi,m,4,4.31,0.32,6,1,5,822.76,126.66,137.24,806.67,-16.1,0.1
6UCFCeTi,m,4,4.31,0.32,7,5,1,119.25,126.66,840.75,429.33,310.09,1.94
6UCFCeTi,m,4,4.31,0.32,8,4,9,1515.55,126.66,555.55,1249.33,-266.21,1.66
6UCFCeTi,m,4,4.31,0.32,9,2,7,1251.58,126.66,291.58,1154.67,-96.91,0.61
6UCFCeTi,m,4,4.31,0.32,10,2,4,769.71,126.66,190.29,869.33,99.62,0.62
6UCFCeTi,m,4,4.31,0.32,11,4,2,396.68,126.66,563.32,545.33,148.66,0.93
6UCFCeTi,m,4,4.31,0.32,12,3,8,1475.71,126.66,515.71,1054.67,-421.04,2.63
6UCFCeTi,m,4,4.31,0.32,13,1,6,966.88,126.66,6.88,901.33,-65.55,0.41
6UCFCeTi,m,4,4.31,0.32,14,2,7,1251.58,126.66,291.58,1137.33,-114.25,0.71
6UCFCeTi,m,4,4.31,0.32,15,1,6,966.88,126.66,6.88,946.67,-20.22,0.13
6UCFCeTi,m,4,4.31,0.32,16,3,8,1475.71,126.66,515.71,1208,-267.71,1.67
6UCFCeTi,m,4,4.31,0.32,17,5,1,119.25,126.66,840.75,602.67,483.42,3.02
6UCFCeTi,m,4,4.31,0.32,18,4,9,1515.55,126.66,555.55,1092,-423.55,2.65
6UCFCeTi,m,4,4.31,0.32,19,3,3,499.73,126.66,460.27,533.33,33.6,0.21
7fWVkeE5,f,4,4.83,0.84,5,2,7,1256.91,126.66,296.91,1153.33,-103.58,0.65
7fWVkeE5,f,4,4.83,0.84,6,1,5,834.67,126.66,125.33,913.33,78.67,0.49
7fWVkeE5,f,4,4.83,0.84,7,2,4,745.16,126.66,214.84,874.67,129.51,0.81
7fWVkeE5,f,4,4.83,0.84,8,1,6,1079.5,126.66,119.5,1094.67,15.17,0.09
7fWVkeE5,f,4,4.83,0.84,9,3,3,483.79,126.66,476.21,836,352.21,2.2
7fWVkeE5,f,4,4.83,0.84,10,4,9,1539.23,126.66,579.23,1150.67,-388.56,2.43
7fWVkeE5,f,4,4.83,0.84,11,3,8,1406.29,126.66,446.29,1221.33,-184.95,1.16
7fWVkeE5,f,4,4.83,0.84,12,5,1,137.49,126.66,822.51,522.67,385.17,2.41
7fWVkeE5,f,4,4.83,0.84,13,5,10,1784.19,126.66,824.19,1144,-640.19,4
7fWVkeE5,f,4,4.83,0.84,14,1,5,834.67,126.66,125.33,977.33,142.67,0.89
7fWVkeE5,f,4,4.83,0.84,15,4,2,270.25,126.66,689.75,384,113.75,0.71
7fWVkeE5,f,4,4.83,0.84,16,1,6,1079.5,126.66,119.5,1328,248.5,1.55
7fWVkeE5,f,4,4.83,0.84,17,2,7,1256.91,126.66,296.91,1289.33,32.42,0.2
7fWVkeE5,f,4,4.83,0.84,18,5,10,1784.19,126.66,824.19,1248,-536.19,3.35
7fWVkeE5,f,4,4.83,0.84,19,3,3,483.79,126.66,476.21,514.67,30.88,0.19
