subj_id,gender,age_group,age,age_centered,trial_nr,agent,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons
15BCs5sf,m,4,4.04,0.05,5,female10,1,5,27.99,900.25,1020.49,850.16,849.61,900.9,1018.84,836.25,835.78,934.16,126.67,980,45.84,0.29
15BCs5sf,m,4,4.04,0.05,6,male06,2,7,27.99,899.23,1019.47,850.35,849.8,905.03,1023.37,837.68,836.43,1230.31,126.67,1133.33,-96.98,0.61
15BCs5sf,m,4,4.04,0.05,7,male03,4,2,27.99,901.32,1021.56,844.52,843.97,892.79,1012,833.51,833.83,345.33,126.67,568,222.67,1.39
15BCs5sf,m,4,4.04,0.05,8,male09,5,1,27.47,903.71,1021.69,844.85,844.31,893.69,1011.04,835.55,835.74,130.1,126.67,390.67,260.56,1.63
15BCs5sf,m,4,4.04,0.05,9,female05,5,10,26.05,907.95,1014.33,818.04,817.53,917.53,1023.22,809.29,808.09,1664.95,126.67,1465.33,-199.62,1.25
15BCs5sf,m,4,4.04,0.05,10,female08,3,8,27.99,900.6,1014.91,831.91,831.35,907.84,1020.59,820.01,818.63,1329.91,126.67,1453.33,123.42,0.77
15BCs5sf,m,4,4.04,0.05,11,male11,4,9,27.99,899.32,1019.56,849.27,848.72,909.38,1028.75,839.63,838.25,1653.72,126.67,1416,-237.72,1.49
15BCs5sf,m,4,4.04,0.05,12,female07,3,3,27.68,903.2,1016.23,828.9,828.36,897.53,1009.03,816.34,816.61,586.43,126.67,493.33,-93.1,0.58
15BCs5sf,m,4,4.04,0.05,13,female10,2,4,27.99,900.25,1020.49,850.16,849.61,897.21,1015.43,836.56,836.63,738.71,126.67,410.67,-328.04,2.05
15BCs5sf,m,4,4.04,0.05,14,male09,4,2,27.47,903.71,1021.69,844.85,844.31,895.32,1012.31,834.06,834.36,345.33,126.67,345.33,0,0
15BCs5sf,m,4,4.04,0.05,15,female05,3,8,26.05,907.95,1014.33,818.04,817.53,914.71,1019.72,806.97,805.73,1329.91,126.67,1452,122.09,0.76
15BCs5sf,m,4,4.04,0.05,16,female08,2,4,27.99,900.6,1014.91,831.91,831.35,897.48,1009.83,818.33,818.38,738.71,126.67,645.33,-93.37,0.58
15BCs5sf,m,4,4.04,0.05,17,female07,3,3,27.68,903.2,1016.23,828.9,828.36,897.53,1009.03,816.34,816.61,586.43,126.67,558.67,-27.77,0.17
15BCs5sf,m,4,4.04,0.05,18,male03,5,1,27.99,901.32,1021.56,844.52,843.97,891.12,1010.71,835.03,835.24,130.1,126.67,989.33,859.23,5.37
15BCs5sf,m,4,4.04,0.05,19,male06,2,7,27.99,899.23,1019.47,850.35,849.8,905.03,1023.37,837.68,836.43,1230.31,126.67,1273.33,43.02,0.27
22cDu9Qf,f,4,4.98,0.99,5,female07,3,8,27.68,903.2,1016.23,828.9,828.36,911.83,1023.68,818.16,816.77,1467.07,126.67,1170.67,-296.41,1.85
22cDu9Qf,f,4,4.98,0.99,6,male09,3,3,27.47,903.71,1021.69,844.85,844.31,897.43,1013.98,832.71,833.02,531.99,126.67,838.67,306.67,1.92
22cDu9Qf,f,4,4.98,0.99,7,female05,4,2,26.05,907.95,1014.33,818.04,817.53,899.37,1005,808.31,808.52,298.5,126.67,806.67,508.17,3.18
22cDu9Qf,f,4,4.98,0.99,8,female10,1,5,27.99,900.25,1020.49,850.16,849.61,898.52,1016.59,836.34,836.24,809.9,126.67,985.33,175.44,1.1
22cDu9Qf,f,4,4.98,0.99,9,male11,1,6,27.99,899.32,1019.56,849.27,848.72,902.02,1019.99,835.6,834.8,1041.87,126.67,946.67,-95.21,0.6
22cDu9Qf,f,4,4.98,0.99,10,male03,5,10,27.99,901.32,1021.56,844.52,843.97,911.9,1031.42,835.46,834.13,1739.85,126.67,1266.67,-473.19,2.96
22cDu9Qf,f,4,4.98,0.99,11,male06,4,9,27.99,899.23,1019.47,850.35,849.8,908.47,1027.62,839.93,838.5,1540.91,126.67,1206.67,-334.25,2.09
22cDu9Qf,f,4,4.98,0.99,12,female08,2,4,27.99,900.6,1014.91,831.91,831.35,897.28,1009.65,818.38,818.45,727.65,126.67,1181.33,453.69,2.84
22cDu9Qf,f,4,4.98,0.99,13,male06,2,7,27.99,899.23,1019.47,850.35,849.8,904.63,1022.9,837.51,836.3,1203.29,126.67,1170.67,-32.62,0.2
22cDu9Qf,f,4,4.98,0.99,14,female10,2,7,27.99,900.25,1020.49,850.16,849.61,905.63,1023.9,837.31,836.11,1203.29,126.67,1062.67,-140.62,0.88
22cDu9Qf,f,4,4.98,0.99,15,male11,1,5,27.99,899.32,1019.56,849.27,848.72,897.61,1015.68,835.45,835.34,809.9,126.67,1030.67,220.77,1.38
22cDu9Qf,f,4,4.98,0.99,16,female07,3,3,27.68,903.2,1016.23,828.9,828.36,896.76,1008.4,816.72,817.02,531.99,126.67,962.67,430.67,2.69
22cDu9Qf,f,4,4.98,0.99,17,male03,4,2,27.99,901.32,1021.56,844.52,843.97,892.36,1011.67,833.85,834.16,298.5,126.67,942.67,644.17,4.03
22cDu9Qf,f,4,4.98,0.99,18,female05,4,9,26.05,907.95,1014.33,818.04,817.53,916.71,1022.19,808.47,807.21,1540.91,126.67,1006.67,-534.25,3.34
22cDu9Qf,f,4,4.98,0.99,19,male09,2,4,27.47,903.71,1021.69,844.85,844.31,900.46,1016.51,831.57,831.66,727.65,126.67,940,212.35,1.33
2gCcBvW4,f,4,4.73,0.74,5,female08,1,5,27.99,900.6,1014.91,831.91,831.35,900.01,1012.12,817.99,817.7,870.67,126.67,985.33,114.67,0.72
2gCcBvW4,f,4,4.73,0.74,6,male09,2,7,27.47,903.71,1021.69,844.85,844.31,910.25,1026.56,832.85,831.54,1295.27,126.67,984,-311.27,1.95
2gCcBvW4,f,4,4.73,0.74,7,female05,4,2,26.05,907.95,1014.33,818.04,817.53,900.32,1005.75,807.55,807.81,404.56,126.67,974.67,570.11,3.56
2gCcBvW4,f,4,4.73,0.74,8,male11,5,1,27.99,899.32,1019.56,849.27,848.72,889.81,1009.25,839.09,839.35,224.63,126.67,1029.33,804.7,5.03
2gCcBvW4,f,4,4.73,0.74,9,male03,2,4,27.99,901.32,1021.56,844.52,843.97,897.29,1015.64,831.19,831.36,684.47,126.67,1001.33,316.87,1.98
2gCcBvW4,f,4,4.73,0.74,10,female07,5,10,27.68,903.2,1016.23,828.9,828.36,913.65,1025.99,819.92,818.63,1719.88,126.67,1144,-575.88,3.6
2gCcBvW4,f,4,4.73,0.74,11,male06,3,8,27.99,899.23,1019.47,850.35,849.8,907.82,1026.79,839.38,837.95,1465.84,126.67,1248,-217.84,1.36
2gCcBvW4,f,4,4.73,0.74,12,female10,4,9,27.99,900.25,1020.49,850.16,849.61,909.51,1028.66,839.75,838.33,1543.9,126.67,1180,-363.9,2.27
2gCcBvW4,f,4,4.73,0.74,13,male06,3,3,27.99,899.23,1019.47,850.35,849.8,892.86,1011.63,837.96,838.29,526.79,126.67,724,197.21,1.23
2gCcBvW4,f,4,4.73,0.74,14,male11,5,1,27.99,899.32,1019.56,849.27,848.72,889.81,1009.25,839.09,839.35,224.63,126.67,689.33,464.7,2.9
2gCcBvW4,f,4,4.73,0.74,15,female05,3,8,26.05,907.95,1014.33,818.04,817.53,916.09,1021.43,807.95,806.67,1465.84,126.67,1216,-249.84,1.56
2gCcBvW4,f,4,4.73,0.74,16,female08,5,10,27.99,900.6,1014.91,831.91,831.35,911.16,1024.76,822.82,821.5,1719.88,126.67,1138.67,-581.21,3.63
2gCcBvW4,f,4,4.73,0.74,17,female10,1,6,27.99,900.25,1020.49,850.16,849.61,901.75,1019.68,836.31,835.7,978.5,126.67,1034.67,56.17,0.35
2gCcBvW4,f,4,4.73,0.74,18,male03,3,3,27.99,901.32,1021.56,844.52,843.97,894.88,1013.65,832.17,832.5,526.79,126.67,1018.67,491.88,3.07
2gCcBvW4,f,4,4.73,0.74,19,male09,4,9,27.47,903.71,1021.69,844.85,844.31,912.81,1029.73,834.65,833.26,1543.9,126.67,1185.33,-358.57,2.24
2ZvXrAYs,f,4,4.93,0.94,5,male06,1,5,27.99,899.23,1019.47,850.35,849.8,900.05,1017.99,836.44,835.95,942.16,126.67,914.67,-27.49,0.17
2ZvXrAYs,f,4,4.93,0.94,6,female08,5,1,27.99,900.6,1014.91,831.91,831.35,891.03,1004.57,821.79,822.02,234.16,126.67,556,321.84,2.01
2ZvXrAYs,f,4,4.93,0.94,7,male09,2,4,27.47,903.71,1021.69,844.85,844.31,900.62,1016.65,831.53,831.6,736.83,126.67,913.33,176.51,1.1
