subj_id,gender,age_group,age,age_centered,trial_nr,agent,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons
1WbXvcdr,f,3,3.77,0.7,5,monkey,3,3,37.28,872.12,1045.89,937.8,937.8,859.4,1029.29,912.04,914.36,471.53,126.67,556,84.47,0.53
1WbXvcdr,f,3,3.77,0.7,6,pig,4,9,42.48,854.99,1059.5,923.25,923.25,878.39,1079.34,900.2,897.08,1663.44,126.67,656,-1007.44,6.3
1WbXvcdr,f,3,3.77,0.7,7,monkey,3,8,37.28,872.12,1045.89,937.8,937.8,888.77,1058.68,914.4,912.08,1449.33,126.67,569.33,-879.99,5.5
1WbXvcdr,f,3,3.77,0.7,8,sheep,1,5,45.1,882.92,1041.46,871.69,871.69,885.96,1037.13,836.97,837.11,948.2,126.67,548,-400.2,2.5
1WbXvcdr,f,3,3.77,0.7,9,pig,4,2,42.48,854.99,1059.5,923.25,923.25,836.08,1036.74,896.4,899.57,294.03,126.67,520,225.97,1.41
1WbXvcdr,f,3,3.77,0.7,10,pig,5,1,42.48,854.99,1059.5,923.25,923.25,832.92,1034.58,898.93,901.85,131.99,126.67,481.33,349.34,2.18
1WbXvcdr,f,3,3.77,0.7,11,sheep,5,10,45.1,882.92,1041.46,871.69,871.69,909.05,1065.06,848.62,846.04,1726.94,126.67,590.67,-1136.27,7.1
1WbXvcdr,f,3,3.77,0.7,12,monkey,1,6,37.28,872.12,1045.89,937.8,937.8,876.17,1043.83,909.36,909.15,987.7,126.67,810.67,-177.04,1.11
1WbXvcdr,f,3,3.77,0.7,13,monkey,2,4,37.28,872.12,1045.89,937.8,937.8,868.32,1036.46,909.33,910.67,763.9,126.67,825.33,61.43,0.38
1WbXvcdr,f,3,3.77,0.7,14,sheep,3,3,45.1,882.92,1041.46,871.69,871.69,866.07,1020.28,841.18,844.01,471.53,126.67,652,180.47,1.13
1WbXvcdr,f,3,3.77,0.7,15,pig,2,7,42.48,854.99,1059.5,923.25,923.25,870.18,1067.91,894.13,891.5,1270.45,126.67,1213.33,-57.12,0.36
1WbXvcdr,f,3,3.77,0.7,16,pig,4,2,42.48,854.99,1059.5,923.25,923.25,836.08,1036.74,896.4,899.57,294.03,126.67,629.33,335.31,2.1
1WbXvcdr,f,3,3.77,0.7,17,sheep,5,10,45.1,882.92,1041.46,871.69,871.69,909.05,1065.06,848.62,846.04,1726.94,126.67,1272,-454.94,2.84
1WbXvcdr,f,3,3.77,0.7,18,monkey,3,8,37.28,872.12,1045.89,937.8,937.8,888.77,1058.68,914.4,912.08,1449.33,126.67,1334.67,-114.66,0.72
1WbXvcdr,f,3,3.77,0.7,19,sheep,1,6,45.1,882.92,1041.46,871.69,871.69,887.77,1038.95,837.18,836.93,987.7,126.67,1368,380.3,2.38
2edx3iSa,f,3,3.17,0.1,5,sheep,4,9,45.1,882.92,1041.46,871.69,871.69,906.21,1061.16,845.76,842.94,1551.84,126.67,1542.67,-9.18,0.06
2edx3iSa,f,3,3.17,0.1,6,monkey,4,2,37.28,872.12,1045.89,937.8,937.8,857.83,1028.12,912.88,915.23,407.16,126.67,1138.67,731.5,4.57
2edx3iSa,f,3,3.17,0.1,7,monkey,2,4,37.28,872.12,1045.89,937.8,937.8,866.16,1034.63,909.7,911.38,700.14,126.67,1337.33,637.19,3.98
2edx3iSa,f,3,3.17,0.1,8,sheep,5,1,45.1,882.92,1041.46,871.69,871.69,860.03,1015.85,845.4,848.05,234.27,126.67,1478.67,1244.4,7.78
2edx3iSa,f,3,3.17,0.1,9,pig,3,8,42.48,854.99,1059.5,923.25,923.25,873.58,1072.48,896.18,893.08,1402.12,126.67,1477.33,75.21,0.47
2edx3iSa,f,3,3.17,0.1,10,sheep,3,3,45.1,882.92,1041.46,871.69,871.69,865.12,1019.58,841.72,844.56,440.5,126.67,1593.33,1152.83,7.21
