b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
1.02389,0.145094,-0.00573142,0.0000552085,2.03846,1.65987,-1325.7
0.92725,0.146081,-0.00526471,0.000048244,2.05292,1.65841,-1322.75
0.884626,0.145198,-0.00529476,0.0000501161,2.05965,1.65806,-1322.51
0.853798,0.144658,-0.0050134,0.0000458602,2.05882,1.65897,-1322.22
0.870463,0.14599,-0.00506771,0.0000458463,2.06734,1.65626,-1321.39
0.864064,0.147466,-0.00538762,0.0000512761,2.05929,1.65826,-1323.3
0.939905,0.14648,-0.00522938,0.0000471279,2.05298,1.65794,-1323.24
0.834074,0.146498,-0.00523345,0.0000495113,2.05295,1.65794,-1323.31
0.84401,0.146932,-0.00533594,0.0000509868,2.06125,1.65772,-1323.48
0.898673,0.145975,-0.00533655,0.0000502297,2.05874,1.65786,-1322.41
0.954689,0.145283,-0.00548358,0.0000519993,2.05725,1.65677,-1322.56
0.905235,0.144902,-0.00524447,0.0000488402,2.05551,1.65677,-1321.68
0.908168,0.14531,-0.00536185,0.0000507583,2.05542,1.65668,-1322.06
0.825192,0.146613,-0.00498773,0.0000451341,2.05409,1.65851,-1322.54
0.857552,0.147156,-0.0048558,0.0000417446,2.05421,1.65822,-1323.01
0.888844,0.147625,-0.00517689,0.0000467386,2.05453,1.65656,-1322.09
0.849311,0.146763,-0.00501975,0.0000450384,2.04803,1.6543,-1321
0.866706,0.146021,-0.00494057,0.0000435251,2.04772,1.65422,-1321.06
0.851234,0.146482,-0.00513022,0.0000471366,2.05847,1.65327,-1320.64
0.895248,0.14707,-0.00528088,0.0000487076,2.06254,1.65403,-1321.1
0.891172,0.147155,-0.0053023,0.0000491662,2.06098,1.65458,-1321.31
0.926379,0.149471,-0.00533574,0.0000480175,2.05596,1.65612,-1323.35
0.860947,0.150969,-0.00523297,0.0000468569,2.04628,1.65467,-1322.19
0.77865,0.150754,-0.00500896,0.0000446288,2.04713,1.655,-1322.38
0.867901,0.149132,-0.00495917,0.0000424815,2.04309,1.6552,-1323.03
0.95371,0.148285,-0.00538993,0.0000489255,2.04115,1.65518,-1323.46
0.890709,0.145365,-0.00515701,0.0000472714,2.04452,1.65367,-1320.66
0.811122,0.145207,-0.00498869,0.0000459755,2.03785,1.65354,-1321.37
0.880505,0.144761,-0.00494809,0.0000438868,2.04336,1.65265,-1320.31
0.848399,0.144535,-0.00504755,0.0000465307,2.04384,1.65292,-1320.41
0.84247,0.146184,-0.00479634,0.0000412894,2.04992,1.65272,-1320.83
0.910268,0.145925,-0.00499097,0.0000434933,2.04439,1.65193,-1321.38
0.82543,0.144642,-0.00501937,0.0000464436,2.03055,1.65191,-1320.65
0.87961,0.144651,-0.00501955,0.000045257,2.03053,1.6519,-1320.03
0.938566,0.144538,-0.00530846,0.0000493717,2.03831,1.65307,-1320.91
0.84292,0.144082,-0.00514414,0.0000486055,2.04687,1.65164,-1320.66
0.961534,0.143213,-0.00520042,0.0000474248,2.04574,1.65124,-1320.49
0.844863,0.143992,-0.00508891,0.0000475724,2.0396,1.65112,-1320.13
0.858115,0.141383,-0.00493769,0.0000456091,2.05123,1.64918,-1318.55
1.016,0.139267,-0.00537362,0.0000511294,2.05754,1.64893,-1319.6
0.894014,0.139272,-0.00531409,0.0000526961,2.0581,1.6488,-1320.87
0.921939,0.139273,-0.00531395,0.000052082,2.0581,1.64881,-1319.64
0.907839,0.142042,-0.00538977,0.0000525487,2.05216,1.64831,-1319.81
0.885778,0.14118,-0.00485477,0.0000435573,2.05596,1.64886,-1318.08
0.937031,0.140688,-0.00497178,0.0000448062,2.042,1.64857,-1318.48
0.881854,0.136606,-0.0048122,0.0000448655,2.03529,1.64779,-1317.51
0.883811,0.135914,-0.00497429,0.0000481158,2.035,1.64757,-1318.8
0.923789,0.132573,-0.00497458,0.0000487169,2.0384,1.64699,-1318.08
0.970179,0.13296,-0.00533735,0.0000542241,2.03554,1.64709,-1320.36
1.05013,0.132432,-0.00523091,0.000050728,2.04219,1.6463,-1317.71
1.04313,0.132876,-0.00520237,0.0000501408,2.02486,1.64554,-1317.53
0.854174,0.134584,-0.00447782,0.0000401641,2.01405,1.64608,-1316.82
0.850268,0.133071,-0.0041898,0.0000355644,2.0206,1.64408,-1316.02
0.913617,0.132961,-0.00419311,0.0000342874,2.02111,1.64406,-1317.13
0.733577,0.133013,-0.00367648,0.0000286977,2.01697,1.64512,-1320.3
0.843583,0.130395,-0.00436456,0.0000401008,1.99586,1.64307,-1316.61
0.840318,0.130394,-0.00436472,0.0000401756,1.99586,1.64307,-1316.78
0.907148,0.128656,-0.00386295,0.0000302303,2.00408,1.64313,-1317.19
0.936543,0.130705,-0.00436917,0.0000379746,1.99735,1.64129,-1314.64
0.948063,0.130766,-0.00447974,0.0000396796,1.99924,1.63875,-1313.55
0.936497,0.129953,-0.00455607,0.0000416825,2.00279,1.63786,-1312.75
0.949048,0.129496,-0.00451273,0.0000407817,2.01525,1.63651,-1312.04
0.913663,0.130054,-0.00442326,0.0000396427,1.9986,1.63582,-1312.15
0.928904,0.13158,-0.00464137,0.0000426571,2.005,1.63591,-1312.37
0.918365,0.13141,-0.00458293,0.0000418689,2.01055,1.63518,-1311.98
0.897251,0.129782,-0.00424728,0.0000369087,2.00099,1.63728,-1312.83
1.00047,0.127388,-0.00476323,0.0000452065,1.99774,1.63618,-1312.32
0.959939,0.126788,-0.00441416,0.0000399454,1.99752,1.63733,-1312.07
0.976419,0.128272,-0.00463121,0.0000429263,1.98621,1.63719,-1312.69
1.01551,0.127611,-0.00465956,0.0000428784,1.98358,1.63677,-1313.01
1.00436,0.126902,-0.00451456,0.0000407355,1.99456,1.63554,-1312.13
0.946926,0.126812,-0.00445597,0.0000409619,1.99735,1.63599,-1311.64
0.963084,0.125792,-0.00434934,0.0000390885,1.99601,1.63574,-1311.38
0.936576,0.124893,-0.00407646,0.000035079,2.00268,1.63779,-1312.18
0.925064,0.124044,-0.00415175,0.0000371434,2.02017,1.63991,-1312.35
0.899544,0.12554,-0.00430444,0.0000398575,2.01907,1.64007,-1313.45
0.958343,0.125239,-0.00429302,0.0000384996,2.00689,1.64033,-1312.67
0.920708,0.123799,-0.00396616,0.0000339107,2.01246,1.6393,-1312.47
1.00066,0.12207,-0.00426533,0.0000384597,2.0259,1.63988,-1311.81
0.93396,0.120562,-0.00371325,0.0000303614,2.03303,1.63788,-1311.96
0.87976,0.120726,-0.00365259,0.0000303419,2.03717,1.63724,-1311.98
0.967041,0.117758,-0.00413977,0.0000386872,2.03428,1.63497,-1309.75
1.04783,0.115112,-0.00436236,0.0000422162,2.05125,1.6357,-1309.75
1.03413,0.113342,-0.00376822,0.0000323495,2.05633,1.63605,-1309.54
0.923421,0.113741,-0.00348288,0.0000293617,2.0613,1.6374,-1310.65
0.970596,0.115814,-0.00377426,0.0000327517,2.06148,1.63595,-1309.57
0.928427,0.116454,-0.00371004,0.0000321919,2.06229,1.63532,-1309.9
0.974736,0.115508,-0.00382168,0.0000336234,2.03888,1.63376,-1308.61
0.948578,0.116916,-0.00361248,0.0000297474,2.02199,1.63539,-1310.37
0.982624,0.118453,-0.0039849,0.0000351633,2.01068,1.63418,-1309.36
0.939383,0.118754,-0.00395558,0.0000354315,2.00963,1.63401,-1309.61
0.952671,0.116456,-0.00358257,0.0000292601,2.00137,1.63308,-1309.88
0.873849,0.11646,-0.00358314,0.0000309937,2.00139,1.63308,-1310.82
0.982448,0.116484,-0.00397772,0.000035868,2.01604,1.6323,-1308.24
0.970965,0.117533,-0.00396323,0.0000353666,2.00333,1.63141,-1308.28
0.981741,0.114183,-0.00380881,0.0000337583,2.01,1.63088,-1307.49
0.993196,0.113981,-0.00400381,0.0000371917,2.02878,1.63074,-1307.42
1.02566,0.115929,-0.00397293,0.0000350629,2.03697,1.63151,-1308.08
0.991585,0.117246,-0.0041108,0.0000377676,2.04458,1.63152,-1308.01
0.945313,0.120875,-0.00387138,0.0000327481,2.05269,1.63135,-1309.19
0.889051,0.119483,-0.00366784,0.0000308416,2.03919,1.63128,-1309.48
0.955315,0.116767,-0.00363078,0.0000299083,2.04482,1.63102,-1308.78
0.988206,0.116991,-0.00393341,0.0000346709,2.04437,1.631,-1307.88
0.97372,0.114927,-0.00389443,0.0000351384,2.04159,1.62886,-1306.83
1.01064,0.115011,-0.00397343,0.0000357668,2.04485,1.6296,-1306.96
0.998309,0.116549,-0.00408116,0.0000373521,2.04133,1.6301,-1307.37
0.994517,0.116221,-0.00396033,0.0000353395,2.03881,1.62954,-1307.16
0.868364,0.117908,-0.00379187,0.0000342164,2.02253,1.6283,-1309.44
0.963733,0.114696,-0.00401795,0.0000377866,2.03566,1.63105,-1308.32
1.06293,0.112347,-0.00377671,0.0000322337,2.03827,1.6322,-1308.71
0.947272,0.112358,-0.00385207,0.0000361582,2.03518,1.63257,-1309.21
0.99082,0.106841,-0.00336251,0.0000286242,2.02175,1.63256,-1307.27
1.01726,0.105551,-0.00346044,0.0000303672,2.02784,1.62991,-1305.73
1.13484,0.102871,-0.00337598,0.0000273987,2.01748,1.62868,-1308.18
1.02366,0.100237,-0.00290529,0.0000222848,2.01433,1.62711,-1305.8
0.947139,0.100756,-0.00279217,0.0000216303,2.00847,1.62655,-1306.38
1.02217,0.102871,-0.00309243,0.0000245862,2.01664,1.6265,-1305.43
1.06167,0.102825,-0.00338674,0.0000291587,2.00769,1.62592,-1304.12
1.11855,0.100426,-0.0036738,0.0000342417,1.99595,1.62441,-1303.03
1.09637,0.10187,-0.00376343,0.0000357316,2.00275,1.62408,-1303.17
1.09288,0.102487,-0.00367444,0.0000339019,2.00358,1.62451,-1303.24
1.02001,0.102444,-0.00318592,0.0000265464,2.00073,1.62642,-1304.69
1.02443,0.101989,-0.00335143,0.0000297074,1.9977,1.62654,-1304.26
1.09354,0.102162,-0.00324267,0.0000261099,1.99347,1.62645,-1306.28
1.1459,0.0997659,-0.00344634,0.0000297692,1.98885,1.62574,-1304.89
1.09652,0.099254,-0.00314445,0.0000255067,1.98449,1.62567,-1305.08
1.03999,0.0992494,-0.00314388,0.0000267357,1.98453,1.62567,-1303.85
1.22655,0.097661,-0.00425783,0.0000438951,1.98862,1.62513,-1306.07
1.2162,0.0979513,-0.00416268,0.0000422396,1.9877,1.62523,-1305.37
1.17263,0.0958913,-0.00393582,0.0000399147,1.99473,1.62484,-1304.12
1.14521,0.0948482,-0.00367588,0.0000361973,1.99926,1.62549,-1303.13
1.0763,0.095067,-0.00326973,0.0000301075,1.99693,1.6251,-1302.59
1.08493,0.0954233,-0.00325787,0.0000295392,1.99937,1.62498,-1302.37
1.11778,0.0945264,-0.00322449,0.0000286522,2.00562,1.62725,-1302.96
1.15638,0.0915435,-0.0031041,0.0000268873,1.99407,1.62614,-1302.72
1.18103,0.0903451,-0.00312734,0.0000272984,1.99486,1.62568,-1302.57
1.22177,0.0903172,-0.00310575,0.0000260234,1.99548,1.6258,-1304.88
1.14156,0.0872893,-0.00290567,0.0000254318,1.99362,1.62575,-1301.48
1.13458,0.0881418,-0.0027959,0.00002322,1.99882,1.62753,-1302.77
1.05204,0.0883755,-0.00269479,0.0000230534,1.99942,1.62734,-1303.36
1.16457,0.0892472,-0.00336622,0.0000326095,1.99242,1.62827,-1302.88
1.15131,0.0879698,-0.00325778,0.0000314474,1.99682,1.62738,-1302.4
1.09269,0.08902,-0.00302253,0.000027896,1.99581,1.62609,-1302.33
1.084,0.0890171,-0.00259851,0.0000202485,1.99819,1.62531,-1302.95
1.05489,0.0886982,-0.00263537,0.0000217124,1.99746,1.62555,-1302.75
1.09957,0.0857437,-0.00262636,0.0000219053,2.00179,1.62668,-1302.15
1.14851,0.0852264,-0.00290205,0.0000261338,1.98972,1.62596,-1301.17
1.21969,0.0860737,-0.00311421,0.0000280874,2.00773,1.62478,-1301.34
1.15229,0.0853321,-0.00306069,0.0000288987,2.02289,1.62451,-1300.68
1.32132,0.0853108,-0.00306109,0.0000252155,2.02289,1.6245,-1308.04
1.19504,0.0852444,-0.00297442,0.0000264117,2.02047,1.62457,-1300.81
1.26153,0.0867293,-0.00336203,0.0000314058,2.00835,1.62267,-1301.51
1.19763,0.0860906,-0.00310824,0.0000284576,2.0137,1.62502,-1300.91
1.18127,0.0825463,-0.00279821,0.0000246991,2.02248,1.62631,-1300.81
1.15639,0.0819205,-0.00269337,0.0000235787,2.01956,1.6259,-1300.65
1.21825,0.0807826,-0.00300991,0.0000285361,2.01233,1.62439,-1299.82
1.26025,0.0815255,-0.00349791,0.0000363201,2.00321,1.62581,-1302.37
1.19628,0.0802521,-0.00287987,0.0000268893,2.00903,1.62601,-1300.26
1.21702,0.0812287,-0.00306354,0.0000294388,2.02442,1.62825,-1301.3
1.13253,0.0821381,-0.00246828,0.0000199031,2.0327,1.62824,-1302.27
1.17645,0.0821055,-0.00240773,0.0000178413,2.03327,1.62832,-1303.99
1.20674,0.0804304,-0.00280057,0.0000252688,1.99954,1.63289,-1302.76
1.19402,0.0807971,-0.00283091,0.0000259487,1.9969,1.6331,-1302.88
1.18364,0.081231,-0.0025949,0.0000216011,2.00373,1.6318,-1303.13
1.17837,0.0803916,-0.00288957,0.0000274912,2.00741,1.63025,-1302.09
1.25136,0.079036,-0.00309373,0.0000302862,2.00277,1.63137,-1302.32
1.26487,0.0781226,-0.00297674,0.000028274,2.00471,1.63301,-1302.61
1.31778,0.0765484,-0.00326703,0.0000331504,1.99996,1.63212,-1303.22
1.31083,0.07532,-0.00317495,0.0000321454,1.99848,1.63193,-1302.73
1.24791,0.0742614,-0.00269694,0.0000251663,2.00396,1.63154,-1301.31
1.25081,0.0754261,-0.00258999,0.0000225886,2.01369,1.63044,-1301.55
1.16314,0.0754155,-0.00258007,0.000024339,2.01558,1.6309,-1302.28
1.30014,0.0745816,-0.00290614,0.0000277806,2.01165,1.63339,-1302.39
