b_Intercept,b_age_centered,sigma,Intercept,lp__
-0.291539,-0.000959521,0.454655,-0.311008,-205.397
-0.271552,-0.00208851,0.45073,-0.313929,-204.719
-0.29404,-0.00251527,0.449304,-0.345077,-206.472
-0.307917,-0.00178701,0.448288,-0.344177,-205.79
-0.283977,-0.00163912,0.440887,-0.317236,-204.096
-0.289714,-0.00142256,0.435795,-0.318579,-204.177
-0.293973,-0.00180443,0.438781,-0.330587,-204.468
-0.312893,-0.000693432,0.43376,-0.326963,-205.194
-0.311289,-0.000998931,0.431299,-0.331559,-205.13
-0.307733,-0.000530581,0.435921,-0.318499,-205.198
-0.294089,-0.00112316,0.420587,-0.316879,-205.686
-0.293132,-0.00135548,0.449659,-0.320635,-204.61
-0.266146,-0.00165333,0.417592,-0.299693,-206.483
-0.284061,-0.00163332,0.447649,-0.317203,-204.361
-0.26286,-0.00174368,0.443825,-0.29824,-204.772
-0.290979,-0.00157223,0.430813,-0.322881,-204.418
-0.297532,-0.00166307,0.441387,-0.331277,-204.512
-0.276698,-0.00176851,0.425923,-0.312583,-204.768
-0.267803,-0.00246528,0.423138,-0.317826,-205.593
-0.323523,-0.000118026,0.416775,-0.325917,-208.426
-0.267174,-0.00128725,0.472804,-0.293293,-208.84
-0.256325,-0.00187034,0.471895,-0.294276,-208.5
-0.27705,-0.00171383,0.460126,-0.311825,-205.674
-0.267743,-0.00203356,0.454617,-0.309006,-205.14
-0.255067,-0.00232744,0.440573,-0.302292,-204.79
-0.284206,-0.00168951,0.434533,-0.318488,-204.157
-0.279475,-0.0014618,0.433184,-0.309136,-204.341
-0.279214,-0.00199723,0.445905,-0.319739,-204.358
-0.2962,-0.00103125,0.455738,-0.317125,-205.393
-0.291717,-0.00183227,0.442196,-0.328895,-204.426
-0.291928,-0.00114621,0.439397,-0.315185,-204.312
-0.30504,-0.00144994,0.435678,-0.33446,-204.779
-0.277646,-0.00171238,0.418457,-0.312392,-205.79
-0.302349,-0.00169438,0.441374,-0.336729,-204.866
-0.287653,-0.00246393,0.440643,-0.337648,-205.417
-0.311833,-0.00050196,0.440393,-0.322018,-205.257
-0.267922,-0.00244026,0.448733,-0.317437,-204.875
-0.271408,-0.00285604,0.425652,-0.329359,-206.277
-0.261932,-0.00276379,0.445068,-0.318012,-205.141
-0.343592,-0.000728776,0.450301,-0.35838,-208.368
-0.305466,-0.00237299,0.447532,-0.353616,-207.21
-0.311225,-0.001785,0.447005,-0.347444,-206.064
-0.298653,-0.00205403,0.449569,-0.340331,-205.617
-0.282213,-0.00136258,0.440999,-0.309861,-204.255
