b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.052141,-0.033712,0.000475445,0.4207,-0.335478,-173.495
-0.0672183,-0.033518,0.000486554,0.417681,-0.337257,-174.076
-0.0502872,-0.0321228,0.000443135,0.424273,-0.328611,-172.872
-0.103077,-0.0269161,0.000388954,0.410103,-0.321414,-171.561
-0.0940365,-0.0260934,0.000369947,0.419296,-0.3117,-171.035
-0.0651734,-0.0284581,0.000398682,0.4172,-0.306603,-171.212
-0.124842,-0.0231109,0.000331662,0.428835,-0.314255,-172.289
-0.0945351,-0.0244199,0.000336622,0.432961,-0.306329,-172.589
-0.0711993,-0.0275332,0.00038363,0.433913,-0.306545,-172.072
-0.102189,-0.0284959,0.000420783,0.406172,-0.325757,-173.123
-0.088977,-0.0281717,0.000383954,0.409101,-0.337006,-173.207
-0.0762802,-0.028199,0.000369429,0.409003,-0.337105,-176.118
-0.0537451,-0.0307538,0.000435719,0.411077,-0.31054,-171.739
-0.0735709,-0.0304843,0.000428932,0.418711,-0.330618,-171.753
-0.110924,-0.0242702,0.000354196,0.407979,-0.304868,-172.757
-0.0607808,-0.0309562,0.000437814,0.433821,-0.319916,-172.279
-0.0742101,-0.0308916,0.00045203,0.434564,-0.320055,-173.125
-0.0541261,-0.0308842,0.000428063,0.434584,-0.320019,-172.689
-0.132237,-0.0241076,0.000330958,0.417182,-0.342467,-173.32
-0.0682816,-0.0326775,0.00045863,0.410978,-0.344801,-174.293
-0.0603625,-0.0266014,0.000370983,0.436638,-0.28746,-173.806
-0.176119,-0.0201558,0.000290503,0.428764,-0.340259,-175.07
-0.0717654,-0.0280164,0.000401121,0.421303,-0.302176,-171.399
-0.0565606,-0.0301039,0.000431638,0.422577,-0.303608,-171.679
-0.129107,-0.0252167,0.000378467,0.42071,-0.321802,-173.121
-0.104605,-0.0252017,0.000349065,0.420713,-0.321777,-171.461
-0.085847,-0.0283003,0.000395672,0.425963,-0.32661,-171.412
-0.0970513,-0.0273172,0.000382007,0.416729,-0.329383,-171.353
-0.106363,-0.0235933,0.000334607,0.410976,-0.303082,-172.34
-0.0847688,-0.0272422,0.000383492,0.410731,-0.314327,-171.209
-0.108553,-0.0257975,0.000359682,0.424753,-0.328863,-171.594
-0.108183,-0.0256856,0.000372274,0.423036,-0.315611,-171.424
-0.0844197,-0.0269487,0.000366918,0.41516,-0.321991,-171.926
-0.0715081,-0.0287451,0.000408205,0.417186,-0.310734,-171.035
-0.0748962,-0.0294993,0.000417339,0.417706,-0.321727,-171.134
-0.101348,-0.0256436,0.000366362,0.431896,-0.312907,-171.765
-0.0964028,-0.0260655,0.000366733,0.412585,-0.316209,-171.192
-0.11592,-0.0252389,0.000356644,0.402642,-0.327458,-172.617
-0.100978,-0.0270405,0.000385551,0.40811,-0.324709,-171.587
-0.100237,-0.0265264,0.000371762,0.413972,-0.325157,-171.265
-0.0780827,-0.0286562,0.000411323,0.423204,-0.312876,-171.154
-0.0856671,-0.0286627,0.000420486,0.423188,-0.312869,-171.884
-0.0620247,-0.0287359,0.000394075,0.423409,-0.312971,-171.722
-0.0514973,-0.0287972,0.000415001,0.419452,-0.286053,-173.044
-0.0444367,-0.0317611,0.000441286,0.419747,-0.316979,-172.062
-0.0191681,-0.0342471,0.000483425,0.415809,-0.306639,-173.362
-0.0679926,-0.0288681,0.000405671,0.427324,-0.311849,-171.316
-0.107062,-0.0263611,0.000381349,0.402404,-0.320547,-172.504
-0.0920021,-0.0273133,0.000385856,0.394361,-0.32101,-173.691
-0.0548411,-0.0310194,0.000444478,0.405748,-0.309642,-172.472
-0.0683057,-0.0289082,0.000411986,0.410021,-0.307655,-171.508
-0.100545,-0.0245497,0.000345368,0.403253,-0.307601,-172.637
-0.0662753,-0.0290276,0.000404551,0.399803,-0.314312,-172.838
-0.0811123,-0.0295925,0.000430742,0.400185,-0.318538,-173.28
-0.0645448,-0.0295947,0.000411138,0.400169,-0.318537,-172.979
-0.0773556,-0.0301679,0.000442412,0.41981,-0.316622,-172.138
-0.123999,-0.0252042,0.000364878,0.422094,-0.327893,-171.728
-0.0454184,-0.0297387,0.000405689,0.415302,-0.306925,-172.38
-0.0467346,-0.0304223,0.000415235,0.422973,-0.314067,-172.354
-0.0475078,-0.0302705,0.000411205,0.422445,-0.315156,-172.546
-0.107901,-0.0266565,0.000376164,0.42032,-0.331751,-171.417
-0.0842485,-0.0281616,0.000402096,0.4148,-0.316782,-171.019
-0.0868989,-0.0283582,0.000400086,0.420235,-0.325116,-171.084
-0.0662396,-0.0304043,0.0004294,0.421118,-0.321267,-171.347
-0.0625108,-0.0292305,0.00040684,0.425531,-0.312734,-171.416
-0.0926594,-0.0256217,0.000366608,0.413892,-0.303566,-171.593
-0.128776,-0.0244898,0.000352451,0.427835,-0.328648,-172.068
-0.115707,-0.0248567,0.000341837,0.43193,-0.331969,-172.718
-0.0970835,-0.0292174,0.000423296,0.424827,-0.333174,-172.064
-0.0864636,-0.0293398,0.000402282,0.434333,-0.342748,-173.934
-0.0875055,-0.030049,0.000429264,0.424958,-0.33544,-172.091
-0.062732,-0.0300718,0.000400451,0.424954,-0.335412,-174.659
-0.0762019,-0.0282495,0.000398362,0.415084,-0.313666,-170.998
-0.0877776,-0.0274072,0.00038531,0.422228,-0.319152,-170.972
-0.113751,-0.0259817,0.000376531,0.425553,-0.323599,-171.58
-0.109291,-0.0266265,0.000390651,0.428435,-0.320322,-172.04
-0.136319,-0.0220657,0.000302339,0.408229,-0.329238,-173.705
-0.0834051,-0.029323,0.000436837,0.414654,-0.310225,-173.129
-0.0784458,-0.0273715,0.000381423,0.415951,-0.312372,-171.115
-0.109288,-0.0250967,0.000360701,0.419895,-0.314521,-171.315
-0.118054,-0.0230875,0.00032249,0.416566,-0.314723,-171.977
-0.0677361,-0.0295587,0.000425803,0.423522,-0.308638,-171.475
-0.0670058,-0.030224,0.000417086,0.412418,-0.328753,-172.271
-0.116568,-0.0250083,0.000366736,0.42394,-0.314922,-171.957
-0.0951041,-0.0268098,0.000392253,0.40949,-0.308505,-172.122
-0.134661,-0.0246212,0.000364397,0.395626,-0.327132,-175.268
-0.0788854,-0.0277528,0.000373889,0.401654,-0.326897,-174.09
-0.101141,-0.0272999,0.000394953,0.406361,-0.32221,-171.958
-0.0527166,-0.0295231,0.000409233,0.426108,-0.306861,-171.764
-0.0913972,-0.0291104,0.000426762,0.426107,-0.322394,-172.093
-0.130338,-0.024605,0.000356738,0.433967,-0.328934,-172.727
-0.131881,-0.0224133,0.000325567,0.441204,-0.312276,-174.209
-0.0798786,-0.0299072,0.000426613,0.40784,-0.327169,-171.99
-0.123325,-0.0241579,0.000341166,0.42061,-0.325973,-171.647
-0.137529,-0.0227952,0.000332481,0.421541,-0.319847,-172.448
-0.0634535,-0.0285198,0.000393973,0.411661,-0.310101,-171.662
