b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,s_sage_centered_1.4.,s_sage_centered_1.5.,s_sage_centered_1.6.,s_sage_centered_1.7.,s_sage_centered_1.8.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.,zs_1_1.4.,zs_1_1.5.,zs_1_1.6.,zs_1_1.7.,zs_1_1.8.
-0.299554,-16.6154,4.56359,0.372674,-0.299554,-8.49819,3.13535,7.82941,1.8308,-3.73956,5.76961,1.99728,-1.08695,-86.137,-1.86217,0.687036,1.71563,0.401174,-0.819434,1.26427,0.437655,-0.238178
-0.291942,-14.174,3.72333,0.372743,-0.291942,-3.95305,2.85665,7.24336,1.51228,-2.06789,4.84555,3.53705,-2.0639,-86.3833,-1.0617,0.767231,1.9454,0.406163,-0.555388,1.3014,0.949971,-0.554316
-0.309314,-11.2977,1.64968,0.364587,-0.309314,-1.44976,2.1187,5.84836,0.544273,-0.578122,3.81337,0.0852937,0.130782,-91.9184,-0.878811,1.28431,3.54515,0.329926,-0.350445,2.31158,0.0517031,0.0792768
-0.330428,-12.5087,2.66478,0.369844,-0.330428,-2.04711,2.09924,6.21975,0.970369,-1.45898,3.94459,-2.17072,-0.653804,-85.9679,-0.76821,0.787772,2.33406,0.364146,-0.547506,1.48027,-0.814597,-0.24535
-0.298269,-12.566,2.91788,0.363663,-0.298269,-0.01066,3.06242,7.08485,1.52982,-2.93074,4.34292,-3.6072,-1.92738,-87.851,-0.00365335,1.04954,2.42809,0.524291,-1.00441,1.48838,-1.23624,-0.660542
-0.315621,-9.52825,3.64554,0.380543,-0.315621,-1.28647,4.7285,7.05601,2.06954,-3.41724,4.02909,3.00487,-1.08209,-82.6804,-0.35289,1.29707,1.93552,0.567692,-0.937377,1.10521,0.82426,-0.296826
-0.315745,-6.101,3.22385,0.365574,-0.315745,0.698674,4.69684,5.8856,1.96116,-3.71182,3.25315,0.0772669,0.0398862,-86.8268,0.21672,1.4569,1.82564,0.608328,-1.15136,1.00909,0.0239672,0.0123722
-0.316514,-10.8074,2.45246,0.359574,-0.316514,-0.562307,3.94374,7.12666,1.70402,-1.96237,4.44721,1.55563,-0.398868,-84.8535,-0.229283,1.60807,2.90592,0.69482,-0.800166,1.81337,0.634315,-0.16264
-0.326835,-8.519,3.04132,0.376071,-0.326835,-2.31932,5.45716,7.46587,2.16953,-3.79456,3.21617,4.25006,0.291932,-88.2086,-0.762602,1.79434,2.45481,0.713352,-1.24767,1.05749,1.39744,0.0959886
-0.300353,-5.97292,3.26221,0.358508,-0.300353,0.152273,4.75729,6.49572,1.70929,-3.12351,2.06478,-1.65451,2.54568,-88.0786,0.0466777,1.4583,1.9912,0.523967,-0.957482,0.63294,-0.507175,0.780355
-0.314171,-9.09308,3.587,0.378275,-0.314171,2.8551,3.72663,6.28348,1.67007,-1.25096,5.0281,1.52201,-0.948063,-85.8466,0.795956,1.03893,1.75173,0.46559,-0.348749,1.40175,0.424314,-0.264305
-0.317414,-10.3796,4.16097,0.386131,-0.317414,3.95322,4.41074,7.33896,1.8046,-2.52511,5.24783,2.09902,-1.63712,-86.3245,0.950073,1.06003,1.76376,0.433698,-0.606858,1.26121,0.504456,-0.393448
-0.318992,-11.9639,4.19536,0.378138,-0.318992,-1.66509,5.16918,7.99037,2.28165,-4.65631,4.23884,1.68494,-3.10608,-86.1258,-0.396887,1.23212,1.90457,0.543851,-1.10987,1.01036,0.40162,-0.740361
-0.300073,-12.675,3.4189,0.370241,-0.300073,0.0512816,3.98395,7.64765,1.86751,-3.24437,4.82634,1.00792,-2.61558,-83.0715,0.0149994,1.16527,2.23687,0.54623,-0.94895,1.41166,0.294808,-0.765035
-0.307277,-15.251,3.25994,0.352187,-0.307277,-4.67128,3.48954,7.78957,1.95541,-2.79386,5.33686,1.94113,-2.99607,-84.2689,-1.43293,1.07043,2.38948,0.59983,-0.857027,1.6371,0.595449,-0.919055
-0.316668,-15.8589,4.15662,0.361447,-0.316668,-3.22606,3.35006,8.03555,1.94546,-3.58936,4.9973,1.23736,-4.08855,-82.2101,-0.776125,0.805958,1.93319,0.468039,-0.863528,1.20225,0.297685,-0.983623
-0.318084,-9.2646,4.50372,0.370015,-0.318084,-1.13311,3.46788,6.30589,1.27474,-1.97996,2.66284,1.62827,-0.515477,-81.0576,-0.251596,0.770004,1.40015,0.283042,-0.439627,0.591255,0.36154,-0.114456
-0.320409,-10.4361,6.26762,0.376027,-0.320409,-1.55378,4.41579,7.33712,2.16426,-3.33822,5.3739,-0.497597,1.72665,-82.8718,-0.247906,0.704539,1.17064,0.345309,-0.532614,0.857407,-0.0793917,0.275488
-0.311219,-9.36686,4.69884,0.355492,-0.311219,-1.09775,3.02095,5.87505,1.17068,-1.78157,2.49449,1.17288,-1.76356,-82.7156,-0.233622,0.642913,1.25032,0.249143,-0.379152,0.530873,0.24961,-0.375319
-0.299042,-9.50858,4.0562,0.36426,-0.299042,-2.27431,3.01174,6.06793,1.2386,-1.47078,4.34355,-2.01435,2.60702,-86.2885,-0.5607,0.742503,1.49596,0.30536,-0.3626,1.07084,-0.496611,0.642724
-0.305904,-9.0059,3.83023,0.360408,-0.305904,-0.885954,3.15774,6.2229,1.07025,-1.24576,3.75152,-1.83365,2.49464,-84.2514,-0.231306,0.824427,1.62468,0.279422,-0.325243,0.979451,-0.47873,0.651302
-0.326178,-13.4512,5.29858,0.371047,-0.326178,-3.50018,4.17312,7.88918,2.36632,-4.5517,5.77734,0.556504,-0.579561,-84.366,-0.660588,0.787592,1.48892,0.446595,-0.859042,1.09036,0.105029,-0.10938
-0.312617,-11.4421,4.03542,0.364383,-0.312617,1.35872,2.98089,6.5586,1.10891,-1.74388,4.60326,2.79172,-1.61617,-83.9846,0.3367,0.738682,1.62526,0.274795,-0.432144,1.14072,0.691804,-0.400496
-0.320503,-12.3199,2.70015,0.369689,-0.320503,-3.67207,3.82101,7.24045,1.59541,-3.66482,3.22513,0.882401,-2.42519,-86.958,-1.35995,1.41511,2.68149,0.590858,-1.35726,1.19443,0.326797,-0.898167
-0.321013,-12.2754,2.72554,0.369626,-0.321013,-3.76437,3.86283,7.3318,1.61514,-3.65167,3.25181,0.872658,-2.34556,-87.8789,-1.38115,1.41727,2.69004,0.592594,-1.3398,1.19309,0.320178,-0.860587
-0.33641,-12.4876,4.26413,0.371206,-0.33641,-0.429905,3.64599,7.12953,1.79852,-2.84196,5.91404,0.559766,-1.48491,-82.3396,-0.100819,0.855037,1.67198,0.42178,-0.666481,1.38693,0.131273,-0.348233
-0.288328,-10.1735,3.77317,0.364262,-0.288328,-1.2192,5.0779,7.62483,2.47611,-3.37608,3.85166,2.04457,-1.73818,-84.6877,-0.323124,1.34579,2.0208,0.656243,-0.894759,1.0208,0.54187,-0.460668
-0.355458,-9.51726,3.12121,0.37095,-0.355458,1.33273,3.16104,5.99089,1.27708,-1.56957,4.49364,-1.42225,0.234649,-89.3685,0.426992,1.01276,1.91941,0.409162,-0.502872,1.43971,-0.455674,0.0751789
-0.301201,-7.60412,2.6165,0.358457,-0.301201,2.20042,3.42875,5.66041,1.21426,-0.899339,3.11335,0.665873,-0.827355,-87.1567,0.840978,1.31044,2.16335,0.46408,-0.343718,1.18989,0.25449,-0.316207
-0.32378,-14.9055,3.98288,0.368339,-0.32378,-5.91348,4.4864,8.43636,2.31684,-4.73961,5.5962,0.562105,-0.717815,-87.6375,-1.48472,1.12642,2.11816,0.581701,-1.19,1.40506,0.14113,-0.180225
-0.345426,-10.3592,3.33514,0.367475,-0.345426,-1.88852,3.4383,6.12543,1.44231,-2.56966,4.27455,3.46627,-1.28216,-86.9451,-0.566248,1.03093,1.83663,0.43246,-0.77048,1.28167,1.03932,-0.384438
-0.293343,-9.91228,2.22739,0.37114,-0.293343,-0.431111,3.52477,6.90983,1.55691,-1.62027,3.03613,-3.59292,0.897665,-92.482,-0.19355,1.58247,3.1022,0.698985,-0.727427,1.36309,-1.61306,0.403011
-0.308231,-8.63424,1.91076,0.370075,-0.308231,-0.628244,2.90964,5.64264,0.948195,-1.74648,3.01155,-2.59923,0.619841,-90.5327,-0.328793,1.52277,2.95309,0.49624,-0.914023,1.5761,-1.36031,0.324395
-0.320101,-6.29815,2.38289,0.361147,-0.320101,1.62547,4.15078,5.5966,1.52674,-2.97758,3.16899,-1.41722,0.206252,-89.6208,0.682142,1.74191,2.34866,0.640708,-1.24956,1.32989,-0.594749,0.0865554
-0.328711,-4.58553,3.17816,0.382407,-0.328711,3.01606,5.01302,5.65912,1.76269,-2.7607,4.01497,2.97366,1.04244,-92.0528,0.948994,1.57733,1.78063,0.554625,-0.868646,1.2633,0.935653,0.328
-0.329429,-6.48019,2.60317,0.379512,-0.329429,-0.440157,3.79822,5.32556,1.16051,-2.15042,2.78281,2.14689,0.739404,-89.6747,-0.169085,1.45907,2.0458,0.445808,-0.826076,1.06901,0.824721,0.284039
