b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.332848,-0.00245345,1.52445,0.416071,-0.332848,2.69662,-177.479,1.76891
-0.326705,-0.0147671,2.05132,0.419503,-0.326705,3.22404,-178.168,1.57169
-0.314304,0.0000205738,4.71562,0.44554,-0.314304,2.67897,-177.755,0.568106
-0.321559,0.0188586,7.64013,0.422562,-0.321559,2.285,-176.306,0.299079
-0.320512,0.0214713,6.26741,0.423054,-0.320512,2.89265,-174.215,0.461538
-0.30754,0.0289119,7.31071,0.427317,-0.30754,3.05637,-174.835,0.418067
-0.30871,0.0412628,1.93606,0.419715,-0.30871,2.77421,-174.987,1.43292
-0.31445,0.0458774,2.27035,0.42183,-0.31445,3.11446,-175.204,1.3718
-0.335971,0.0407225,2.27401,0.426662,-0.335971,2.87681,-175.453,1.26509
-0.334057,0.036032,2.04804,0.425166,-0.334057,2.29447,-176.366,1.12032
-0.299643,0.0191953,3.35009,0.408167,-0.299643,3.64968,-177.159,1.08943
-0.321361,0.0233259,2.89157,0.394241,-0.321361,2.35781,-178.015,0.815406
-0.332905,0.0278564,3.50304,0.401456,-0.332905,2.32161,-177.183,0.66274
-0.335291,0.0281883,3.93824,0.40173,-0.335291,3.36285,-176.722,0.853898
-0.312521,0.0241945,3.35446,0.424831,-0.312521,3.22453,-174.21,0.961266
-0.2947,0.0200373,2.9519,0.432181,-0.2947,2.77744,-175.386,0.940898
-0.305029,0.0228519,2.31786,0.431549,-0.305029,3.03487,-174.947,1.30935
-0.322105,0.036147,3.39816,0.402595,-0.322105,3.22921,-175.701,0.950283
-0.350595,0.015856,4.34541,0.424669,-0.350595,2.35239,-177.66,0.541352
-0.274923,-0.00162274,3.72487,0.42199,-0.274923,3.1318,-178.754,0.840782
-0.316112,0.00788971,4.05302,0.417952,-0.316112,2.82525,-174.374,0.697072
-0.3165,0.0099208,3.92054,0.418643,-0.3165,2.45389,-175.113,0.625905
-0.325321,0.0460905,1.88761,0.426521,-0.325321,3.2075,-176.263,1.69924
-0.320773,0.0610645,1.64314,0.416498,-0.320773,2.77107,-177.483,1.68645
-0.31434,-0.00605364,2.09651,0.425265,-0.31434,2.7731,-176.401,1.32272
-0.318481,0.0130218,3.11823,0.421628,-0.318481,2.94322,-174.037,0.943877
-0.318919,0.00754222,3.51313,0.416038,-0.318919,3.04258,-174.425,0.866058
-0.3039,0.0280028,1.91161,0.420914,-0.3039,3.38244,-175.959,1.76942
-0.313474,0.0154028,3.39155,0.417485,-0.313474,3.40847,-174.856,1.00499
-0.328699,0.0332807,2.53573,0.422091,-0.328699,3.14366,-174.627,1.23975
-0.306158,0.0277245,3.88181,0.421779,-0.306158,3.27523,-174.433,0.843738
-0.326857,0.0473645,3.76796,0.412702,-0.326857,3.14814,-175.375,0.835503
-0.317557,0.0470567,2.61716,0.402575,-0.317557,2.86642,-176.079,1.09524
-0.299377,0.046443,1.20592,0.418844,-0.299377,3.26868,-179.211,2.71053
-0.3159,0.00472249,1.39871,0.4186,-0.3159,3.36221,-177.789,2.40379
-0.306275,0.025557,1.25779,0.412989,-0.306275,3.2449,-177.582,2.57985
-0.316554,0.022813,2.53838,0.410522,-0.316554,2.89761,-174.214,1.14152
-0.325871,0.026295,2.97425,0.420369,-0.325871,2.63419,-174.18,0.885666
-0.320428,0.0243424,8.99179,0.435448,-0.320428,2.9029,-175.783,0.322839
-0.326306,-0.00144335,5.83033,0.423723,-0.326306,2.6264,-176.169,0.450472
-0.31956,-0.00541897,1.76882,0.423325,-0.31956,2.80685,-176.665,1.58685
-0.291031,0.0649912,1.55289,0.431125,-0.291031,3.21361,-180.726,2.06944
-0.305485,0.000429686,2.36172,0.420542,-0.305485,2.36899,-176.706,1.00308
-0.32874,0.0268493,3.22354,0.436278,-0.32874,3.47486,-176.302,1.07796
-0.332987,0.0284904,2.55557,0.431352,-0.332987,2.25136,-176.464,0.880959
-0.34913,0.0573892,3.42187,0.406743,-0.34913,3.72107,-182.055,1.08744
-0.310288,0.0568482,2.75872,0.423175,-0.310288,3.64829,-178.465,1.32246
-0.305941,-0.00168816,3.73202,0.420167,-0.305941,3.32118,-175.91,0.889917
-0.337723,0.0326898,3.24425,0.407716,-0.337723,3.23745,-175.847,0.997905
-0.309142,0.0105562,3.17357,0.431925,-0.309142,2.44664,-175.698,0.770942
-0.304769,0.0131244,3.54066,0.431002,-0.304769,3.56716,-176.298,1.00748
-0.301363,0.0125022,3.1326,0.433942,-0.301363,2.44982,-176.097,0.782039
-0.333152,0.058431,2.1956,0.415109,-0.333152,2.92769,-177.039,1.33344
-0.329823,0.0503127,2.05714,0.415508,-0.329823,2.79324,-175.922,1.35783
-0.316202,0.00943416,4.73248,0.399014,-0.316202,2.61871,-176.657,0.553348
-0.305913,0.0218994,3.77906,0.406018,-0.305913,3.01039,-174.721,0.796599
-0.303458,0.0197601,4.02127,0.406994,-0.303458,3.11996,-174.915,0.775866
-0.334183,0.0345197,3.13524,0.403378,-0.334183,2.71104,-175.811,0.864698
-0.300077,0.00197857,3.07679,0.418438,-0.300077,2.76449,-175.504,0.898499
-0.316194,0.0093104,10.0123,0.419821,-0.316194,2.92713,-175.522,0.292353
-0.312201,-0.00182856,8.52552,0.430297,-0.312201,3.58058,-177.954,0.419984
-0.301255,0.0241008,3.88775,0.422529,-0.301255,3.21838,-174.527,0.827826
-0.313453,0.0326793,3.178,0.411957,-0.313453,2.59247,-174.408,0.815755
-0.297273,0.047951,2.30681,0.412493,-0.297273,3.13841,-176.405,1.3605
-0.302238,0.0396309,2.35605,0.416214,-0.302238,3.02666,-174.96,1.28464
-0.308786,0.0241747,2.2382,0.410487,-0.308786,3.31089,-175.341,1.47926
-0.323331,0.0178612,2.75881,0.410127,-0.323331,3.24048,-174.842,1.17459
-0.317236,0.0219278,2.52747,0.408874,-0.317236,2.5883,-174.76,1.02407
-0.333493,0.023878,2.95057,0.437045,-0.333493,3.13908,-175.695,1.06389
-0.336237,0.0224748,3.07547,0.438306,-0.336237,3.28261,-176.355,1.06735
-0.292185,0.0312462,6.25418,0.408788,-0.292185,2.45471,-176.797,0.392491
-0.291595,0.03166,6.61387,0.407578,-0.291595,3.25029,-176.632,0.491435
-0.32424,0.0262064,2.0403,0.42101,-0.32424,2.66151,-174.529,1.30447
-0.323728,0.0188468,1.88239,0.42275,-0.323728,2.47525,-175.254,1.31495
-0.322206,0.0354912,3.45611,0.415362,-0.322206,2.44199,-174.828,0.706573
-0.30752,0.0421227,3.12714,0.406582,-0.30752,2.96215,-175.182,0.947241
-0.308083,0.0420417,3.34273,0.405703,-0.308083,3.23837,-175.755,0.96878
-0.32175,0.0475157,7.37219,0.417057,-0.32175,3.48755,-176.85,0.473068
-0.328556,0.0222845,1.90338,0.42409,-0.328556,2.48881,-175.329,1.30758
-0.332939,0.0174194,2.01411,0.430509,-0.332939,2.66327,-175.577,1.32231
