b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,lp__,zs_1_1.1.,zs_1_1.2.
-0.325045,-8.01316,6.21432,0.376946,-0.325045,6.5272,-0.691744,-110.443,1.05035,-0.111315
-0.301807,-8.15727,4.63499,0.368177,-0.301807,6.84312,-0.416879,-111.714,1.4764,-0.0899419
-0.307681,-8.37524,4.40098,0.377467,-0.307681,7.01609,-0.43234,-110.636,1.59421,-0.0982371
-0.315498,-8.72378,5.11936,0.384475,-0.315498,7.17334,-0.837231,-109.669,1.40122,-0.163542
-0.304282,-8.823,4.70625,0.386735,-0.304282,7.20737,-0.901425,-110.267,1.53144,-0.191538
-0.301734,-8.82717,6.31753,0.383881,-0.301734,7.23743,-0.873334,-110.213,1.14561,-0.13824
-0.302102,-8.69396,6.64016,0.382571,-0.302102,7.062,-0.975959,-110.74,1.06353,-0.146978
-0.334218,-8.15721,3.61533,0.38322,-0.334218,6.72125,-0.575037,-110.883,1.8591,-0.159055
-0.322263,-8.31378,2.5914,0.395458,-0.322263,7.06743,-0.364207,-113.915,2.72726,-0.140544
-0.291064,-8.30481,5.41582,0.394798,-0.291064,7.02134,-0.237953,-113.789,1.29645,-0.0439367
-0.341753,-8.15587,3.49683,0.377877,-0.341753,6.62453,-0.926265,-113.452,1.89444,-0.264887
-0.299739,-8.26979,4.95079,0.396661,-0.299739,6.75632,-0.557653,-111.574,1.3647,-0.112639
-0.299221,-8.45924,4.02723,0.390111,-0.299221,6.99433,-0.539234,-111.035,1.73676,-0.133897
-0.323288,-7.74481,4.49058,0.399034,-0.323288,6.39776,-0.568624,-111.423,1.42471,-0.126626
-0.311277,-8.11139,5.7934,0.387334,-0.311277,6.55391,-0.500389,-111.581,1.13127,-0.0863722
-0.328169,-8.8573,3.95879,0.389432,-0.328169,7.07808,-0.886158,-111.467,1.78794,-0.223846
-0.333466,-8.88484,3.76729,0.391116,-0.333466,7.20801,-0.858784,-111.291,1.91331,-0.227958
-0.304798,-8.7811,6.34779,0.366222,-0.304798,7.33189,-0.628667,-111.752,1.15503,-0.0990372
