b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
-7.9885,1.64001,-0.0543874,0.000477682,0.60096,1.275,-16604.8
-7.98301,1.63998,-0.0543343,0.000476596,0.600965,1.275,-16604.8
-7.97985,1.63991,-0.0543885,0.000477557,0.601056,1.27498,-16597.9
-7.98606,1.63975,-0.0543939,0.000477863,0.601329,1.27497,-16580.7
-7.9765,1.63969,-0.0544445,0.000478612,0.601989,1.27499,-16544.4
-7.96782,1.63957,-0.0543941,0.000477546,0.602142,1.27501,-16534.9
-7.9999,1.63957,-0.0543898,0.000478168,0.602143,1.27501,-16535.9
-7.95666,1.63927,-0.0545241,0.000479839,0.603547,1.27511,-16455.7
-7.99909,1.6393,-0.0542581,0.000475847,0.604102,1.2751,-16427
-7.94766,1.63909,-0.0545714,0.000480592,0.604707,1.27513,-16392.4
-7.95625,1.63905,-0.0544607,0.000478757,0.604771,1.27512,-16387.2
-7.98052,1.63877,-0.0543241,0.000476892,0.605152,1.27513,-16362.5
-7.95281,1.63843,-0.0544388,0.000478555,0.605659,1.27512,-16330.7
-7.98283,1.63837,-0.054283,0.000476364,0.605714,1.27514,-16326.9
-7.98016,1.63831,-0.0543567,0.000477691,0.6058,1.27515,-16321.4
-7.97271,1.63807,-0.0543749,0.00047797,0.606291,1.27513,-16291.7
-7.97999,1.638,-0.0543381,0.000477479,0.607614,1.27509,-16221.7
-8.00259,1.63782,-0.0542545,0.00047651,0.607829,1.2751,-16209.7
-7.96585,1.63772,-0.0542312,0.000475324,0.608109,1.27509,-16193.5
-7.9793,1.63771,-0.0542282,0.000475565,0.608108,1.27509,-16192.2
-7.96889,1.63757,-0.0542877,0.000476498,0.608622,1.27508,-16162.8
-7.93007,1.63762,-0.0545336,0.000480162,0.608624,1.27507,-16165
-8.01277,1.63752,-0.0540733,0.000473526,0.608804,1.27507,-16156
-7.94622,1.63755,-0.0544044,0.000478165,0.608846,1.27508,-16151
-7.93992,1.63763,-0.0544545,0.000478916,0.609541,1.27516,-16117.1
-7.9601,1.63765,-0.0544416,0.000479111,0.609623,1.27515,-16113
-7.95144,1.63759,-0.054378,0.000477776,0.609726,1.27516,-16106.4
-7.94918,1.63754,-0.0543678,0.000477559,0.609763,1.27516,-16104.1
-7.95981,1.6375,-0.0542989,0.000476538,0.60978,1.27516,-16102.7
-7.94877,1.63756,-0.0543726,0.000477631,0.609942,1.27516,-16095.1
-7.95512,1.63753,-0.0543749,0.000477823,0.609998,1.27515,-16091.4
-7.97647,1.63759,-0.0544133,0.000478975,0.610272,1.27516,-16080.2
-7.95928,1.63762,-0.0543298,0.000477045,0.610371,1.27517,-16073.8
-7.9716,1.63759,-0.0542841,0.000476483,0.610374,1.27516,-16073.2
-7.94919,1.63747,-0.0544233,0.000478615,0.610534,1.27515,-16063.1
-7.97945,1.63755,-0.054293,0.000476836,0.610871,1.27515,-16047.1
-7.95995,1.63764,-0.0543444,0.000477318,0.611082,1.27516,-16037.6
-7.95246,1.63709,-0.0543624,0.000477733,0.612262,1.27521,-15969.2
-7.96658,1.6371,-0.0543688,0.000478152,0.612297,1.2752,-15967.9
-7.95945,1.63702,-0.0542872,0.000476527,0.612416,1.27519,-15960.6
-7.96772,1.63702,-0.05447,0.000480083,0.612485,1.27517,-15960.7
-7.91965,1.63649,-0.0546002,0.000481667,0.613804,1.27518,-15886.3
-7.97104,1.63633,-0.0542034,0.000475542,0.614006,1.27515,-15869.8
-7.95041,1.63619,-0.0543623,0.000478083,0.614327,1.27513,-15851.2
-7.94666,1.63618,-0.0543707,0.00047816,0.614316,1.27513,-15851.6
-7.98282,1.63602,-0.0541236,0.000474466,0.614495,1.27514,-15841.4
-7.92839,1.63611,-0.0544783,0.000479777,0.614791,1.27517,-15828.2
-7.9682,1.636,-0.0541272,0.000474221,0.615523,1.27523,-15790.9
-7.97378,1.63597,-0.0542023,0.000475742,0.615571,1.27523,-15786.2
-7.94383,1.63594,-0.0543266,0.000477392,0.615629,1.27523,-15782.6
-7.96269,1.63378,-0.0541715,0.000475909,0.622853,1.27542,-15398
-7.95079,1.63373,-0.0541806,0.000475841,0.623947,1.27546,-15344.5
-7.92116,1.63327,-0.0543603,0.00047871,0.624971,1.27553,-15290.5
-7.94303,1.63322,-0.0543138,0.000478355,0.625021,1.27553,-15288.2
-7.97776,1.6332,-0.0539699,0.000472782,0.625227,1.27551,-15278.5
-7.948,1.63319,-0.0540581,0.000473761,0.62623,1.27557,-15230.3
-7.94807,1.63318,-0.0541595,0.00047564,0.626497,1.27557,-15215.8
-7.9177,1.6325,-0.0543141,0.000478125,0.631887,1.27556,-14956.3
-7.94814,1.63256,-0.0541316,0.0004754,0.632027,1.27555,-14949.9
-7.92882,1.63259,-0.0542116,0.000476439,0.632107,1.27556,-14946.6
-7.9123,1.63264,-0.0542587,0.000476926,0.63224,1.27556,-14942
-7.9444,1.63215,-0.0541327,0.000475521,0.633127,1.27556,-14893.7
-7.90674,1.63212,-0.0542395,0.000476678,0.633133,1.27556,-14894.1
-7.95206,1.63209,-0.0540042,0.000473345,0.63329,1.27555,-14886.7
-7.89886,1.63019,-0.0542727,0.000477977,0.638567,1.27565,-14623
-7.90924,1.62963,-0.054109,0.000475436,0.639386,1.27566,-14577.8
-7.93402,1.62937,-0.0540389,0.000474801,0.639728,1.27569,-14559.3
-7.92721,1.62933,-0.0539315,0.000472688,0.639839,1.27571,-14555.1
-7.90024,1.62913,-0.0541942,0.000477033,0.640209,1.27572,-14535.3
-7.89695,1.62915,-0.0542113,0.000477269,0.640292,1.27574,-14532.2
-7.89095,1.62917,-0.0541937,0.000476802,0.64033,1.27574,-14530.7
-7.89531,1.62915,-0.0542037,0.000477094,0.642404,1.2758,-14440
-7.89382,1.62875,-0.0540607,0.000474603,0.645171,1.27592,-14315.9
-7.86267,1.62097,-0.0537166,0.000471024,0.682392,1.27565,-12754.3
-7.84425,1.62102,-0.0538874,0.00047375,0.682867,1.27564,-12737
-7.87131,1.62101,-0.0537955,0.000472649,0.6829,1.27564,-12734.9
-7.87383,1.62097,-0.0538055,0.000472909,0.682957,1.27564,-12732.4
-7.88461,1.62094,-0.0536665,0.000470593,0.683089,1.27564,-12728.1
-7.89293,1.62093,-0.0536982,0.000471363,0.683123,1.27564,-12726.5
-7.81825,1.62098,-0.0539295,0.000473972,0.68342,1.27565,-12720
-7.87409,1.62016,-0.0538477,0.00047405,0.685151,1.27567,-12646.1
-7.87333,1.61986,-0.0537152,0.000471724,0.689247,1.27564,-12497.3
-7.85226,1.61963,-0.0538281,0.000473446,0.689371,1.27568,-12490.6
-7.9005,1.61957,-0.0536267,0.000470815,0.689518,1.27568,-12486.1
-7.84335,1.6193,-0.0538964,0.000474661,0.689637,1.2757,-12478.2
-7.87672,1.61776,-0.053512,0.00046899,0.69445,1.27594,-12295.8
-7.81191,1.61768,-0.053942,0.000475537,0.694653,1.27589,-12289.1
-7.82932,1.61629,-0.053743,0.000472864,0.698106,1.27591,-12154.8
-7.86172,1.61597,-0.0534946,0.000469138,0.699061,1.27602,-12120
-7.80369,1.61596,-0.0537725,0.000472996,0.69943,1.27603,-12108.6
-7.81135,1.61589,-0.0537535,0.000472846,0.700451,1.27611,-12073.6
-7.83303,1.61583,-0.0536567,0.000471563,0.700517,1.27609,-12069.8
-7.83149,1.61543,-0.0536976,0.00047246,0.701445,1.27617,-12035.2
-7.8587,1.61543,-0.0535281,0.000469929,0.701581,1.27617,-12030.8
-7.81297,1.61533,-0.0536973,0.000472094,0.702067,1.27614,-12014
-7.82419,1.61545,-0.0536433,0.000471291,0.702578,1.27619,-11998.4
-7.8228,1.61549,-0.0536109,0.000470647,0.703071,1.27619,-11983.3
-7.84877,1.6087,-0.0531696,0.000466095,0.725801,1.27648,-11207.7
-7.84484,1.60873,-0.0531269,0.00046521,0.725828,1.27649,-11207.5
-7.78281,1.60874,-0.0534919,0.00047058,0.725945,1.2765,-11202
-7.78037,1.60195,-0.0530451,0.000465296,0.754591,1.27629,-10343.2
-7.76708,1.60196,-0.0530811,0.000465665,0.754652,1.27628,-10341.7
-7.7579,1.60208,-0.0531855,0.000467336,0.754635,1.27628,-10342.9
-7.77251,1.60194,-0.0531287,0.000466669,0.755037,1.2763,-10331.2
-7.74743,1.60165,-0.0532271,0.000468063,0.755515,1.27632,-10316.2
-7.71455,1.60066,-0.053347,0.000470001,0.758783,1.27651,-10224.9
-7.72024,1.60054,-0.0532812,0.000468967,0.762103,1.27653,-10139.4
-7.72306,1.60054,-0.0532263,0.000468017,0.762119,1.27653,-10138.8
-7.78839,1.60054,-0.0532284,0.000469486,0.762119,1.27653,-10145
-7.79171,1.60055,-0.0532083,0.000469182,0.762187,1.27652,-10143.2
-7.73471,1.60063,-0.0530723,0.000465387,0.762783,1.2765,-10124.4
-7.69812,1.59669,-0.0530309,0.000465577,0.776324,1.27671,-9758.89
-7.7567,1.59666,-0.053033,0.000466913,0.777495,1.27676,-9731.48
-7.75728,1.59623,-0.0529694,0.000465942,0.77844,1.27668,-9704.48
-7.76812,1.59623,-0.0529676,0.000466147,0.77844,1.27668,-9706.12
-7.76484,1.59559,-0.0528673,0.000464505,0.780135,1.2766,-9659.08
-7.68169,1.59561,-0.0530625,0.00046628,0.780983,1.27659,-9640.11
-7.76193,1.59573,-0.0528516,0.000464093,0.781339,1.2766,-9631.88
-7.722,1.59459,-0.0529383,0.00046532,0.784929,1.27644,-9537.88
-7.72786,1.59413,-0.0528775,0.000464531,0.785823,1.2765,-9513.61
-7.69321,1.59044,-0.0527837,0.000463684,0.801978,1.27648,-9127.05
-7.67615,1.59051,-0.0528614,0.00046471,0.801882,1.27649,-9130.06
-7.69604,1.59053,-0.0528206,0.000464383,0.802036,1.27648,-9126.67
-7.69182,1.59054,-0.0528128,0.000464142,0.802114,1.27649,-9125.1
-7.6991,1.59053,-0.0527929,0.00046394,0.802144,1.27649,-9124.35
-7.71145,1.59055,-0.0527465,0.000463345,0.802242,1.27649,-9122.59
-7.67035,1.59019,-0.0529007,0.000465452,0.803684,1.27652,-9089.45
-7.68821,1.59013,-0.0527962,0.000463942,0.80377,1.27651,-9086.6
-7.7186,1.59004,-0.0526949,0.000462778,0.803876,1.2765,-9084.01
-7.6936,1.58991,-0.052849,0.000465137,0.809263,1.2767,-8971.27
-7.69312,1.58992,-0.0526589,0.000461613,0.809234,1.27671,-8972.63
-7.69471,1.58971,-0.0528727,0.000465686,0.80964,1.27668,-8962.47
-7.7359,1.58973,-0.0526134,0.000461795,0.810146,1.27669,-8952.56
-7.65776,1.58956,-0.0528679,0.000464856,0.810838,1.27671,-8936.49
-7.73336,1.58958,-0.0525965,0.000461496,0.81163,1.27678,-8920.92
-7.70038,1.58956,-0.0525965,0.000460783,0.811746,1.27678,-8918.53
-7.6753,1.58951,-0.0527563,0.000463202,0.812407,1.27671,-8903.72
-7.67032,1.58884,-0.0528597,0.000465295,0.815517,1.27654,-8834.77
-7.71592,1.58895,-0.0526548,0.000462466,0.816143,1.27655,-8823.32
-7.70412,1.58882,-0.0527918,0.000464792,0.816848,1.27652,-8808.97
-7.67515,1.58835,-0.0526127,0.000461061,0.81821,1.2765,-8778.31
-7.67635,1.58837,-0.0527656,0.000463896,0.818311,1.2765,-8774.63
-7.71489,1.58832,-0.0526053,0.000461807,0.818608,1.27648,-8768.86
-7.66818,1.58765,-0.0525908,0.000460818,0.821054,1.27662,-8716.85
-7.72026,1.58765,-0.0525868,0.000461884,0.821054,1.27662,-8715.99
-7.65904,1.58781,-0.0529653,0.000467454,0.821794,1.27665,-8704.25
-7.66431,1.58571,-0.0527535,0.000464601,0.833588,1.27682,-8459.7
-7.64572,1.58436,-0.0526262,0.000462447,0.83639,1.27683,-8396.29
-7.66132,1.58392,-0.0526258,0.000462974,0.838331,1.27686,-8357.15
-7.66495,1.58393,-0.0526437,0.000463379,0.838494,1.27687,-8354.68
-7.66501,1.58383,-0.052553,0.000461754,0.838566,1.27688,-8351.85
-7.63603,1.584,-0.0526726,0.000463248,0.839118,1.27686,-8343.49
-7.69385,1.58321,-0.0523615,0.000459126,0.840392,1.2768,-8314.58
-7.61394,1.5833,-0.0527783,0.000465026,0.840493,1.27681,-8313.84
-7.68146,1.58319,-0.0523544,0.000458732,0.840396,1.27682,-8314.37
-7.66372,1.58319,-0.0523564,0.000458381,0.840396,1.27682,-8315.35
-7.65908,1.58323,-0.0523931,0.000458935,0.840468,1.2768,-8313.96
-7.64196,1.58304,-0.0526125,0.000462694,0.840915,1.27679,-8302.78
-7.66965,1.58304,-0.0526055,0.00046317,0.840911,1.27679,-8304.11
-7.62979,1.58299,-0.0527276,0.000464576,0.841258,1.2768,-8296.98
-7.67315,1.58262,-0.0523541,0.000458798,0.841814,1.27672,-8283.83
-7.66578,1.58189,-0.0523732,0.000459314,0.843698,1.27686,-8243.98
-7.64877,1.58174,-0.0526175,0.000463514,0.844019,1.27684,-8237.72
-7.65812,1.58167,-0.0523899,0.000459553,0.844469,1.27682,-8228.26
-7.6251,1.58167,-0.0525797,0.000462329,0.845149,1.2768,-8216.07
-7.67618,1.58178,-0.0522966,0.000458176,0.845339,1.27681,-8214.37
-7.69946,1.58186,-0.0522179,0.0004572,0.84775,1.27686,-8173.34
-7.64946,1.58185,-0.0525653,0.000462519,0.847843,1.27684,-8169.68
-7.61301,1.5812,-0.0526351,0.000463297,0.850091,1.27692,-8125.62
-7.6586,1.58109,-0.0523375,0.000458854,0.851041,1.27687,-8107.99
-7.65271,1.58119,-0.0524779,0.000461272,0.851039,1.27687,-8108.23
-7.64075,1.58115,-0.0523241,0.000458191,0.851069,1.27687,-8109.59
-7.60157,1.58103,-0.0525925,0.000462339,0.851835,1.27692,-8094.58
-7.64133,1.58101,-0.0525583,0.000462585,0.852012,1.27693,-8090.35
-7.66384,1.581,-0.0522801,0.000457953,0.852521,1.27693,-8082.19
-7.64683,1.58082,-0.0525178,0.000462045,0.852645,1.27689,-8077.74
-7.59036,1.58082,-0.0528426,0.000466798,0.852762,1.27689,-8079.1
-7.60941,1.5808,-0.0527171,0.00046491,0.852781,1.2769,-8076.58
-7.69141,1.58073,-0.0522091,0.000457366,0.85324,1.27695,-8068.36
-7.60264,1.5806,-0.0526483,0.000463582,0.853728,1.27691,-8058.03
-7.62516,1.57943,-0.052418,0.000460347,0.857533,1.27709,-7983.36
-7.582,1.57933,-0.0526303,0.000463366,0.857937,1.27708,-7977.31
-7.68979,1.57907,-0.0521876,0.000457672,0.859611,1.27708,-7947.48
-7.58837,1.57782,-0.0524956,0.000461689,0.865987,1.277,-7830.3
-7.62664,1.57786,-0.0524325,0.000461342,0.866085,1.27698,-7828.35
-7.64764,1.57775,-0.052347,0.000460276,0.8671,1.27693,-7811.14
