b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,s_sage_centered_1.4.,s_sage_centered_1.5.,s_sage_centered_1.6.,s_sage_centered_1.7.,s_sage_centered_1.8.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.,zs_1_1.4.,zs_1_1.5.,zs_1_1.6.,zs_1_1.7.,zs_1_1.8.
-0.321018,-11.6902,4.42326,0.367344,-0.321018,-1.34107,4.07763,7.22224,2.00916,-3.33205,5.93984,1.75646,-0.0671674,-81.7608,-0.303186,0.92186,1.63278,0.454225,-0.753302,1.34286,0.397097,-0.015185
-0.329767,-16.4538,4.98831,0.353647,-0.329767,-3.99872,2.58112,7.44367,1.45713,-3.99578,4.1228,0.375474,-5.90163,-85.0514,-0.801617,0.517433,1.49222,0.292109,-0.801028,0.826491,0.0752708,-1.18309
-0.331158,-16.9932,5.65395,0.369319,-0.331158,-4.74481,3.46267,8.19471,1.87762,-3.15345,6.53005,4.36195,-3.61972,-82.0367,-0.839203,0.612434,1.44938,0.33209,-0.557742,1.15495,0.771487,-0.640211
-0.333167,-10.5901,3.67403,0.35928,-0.333167,-1.36748,3.14562,6.34254,1.28049,-1.97724,3.25278,-0.152689,-1.56375,-81.5152,-0.372201,0.856177,1.72632,0.348524,-0.538166,0.885342,-0.0415589,-0.425623
-0.299154,-9.27054,5.81051,0.372171,-0.299154,-4.00906,3.89001,6.30325,1.568,-2.35336,2.74918,2.56513,-0.977677,-84.0799,-0.689967,0.669479,1.0848,0.269856,-0.405018,0.47314,0.441464,-0.16826
-0.344272,-7.79708,2.77441,0.370961,-0.344272,2.21561,3.33775,6.0632,1.19398,-1.22777,3.69948,-1.71742,2.03534,-87.2654,0.798588,1.20305,2.1854,0.430354,-0.442532,1.33343,-0.619024,0.733612
-0.293008,-6.16297,3.03005,0.375263,-0.293008,0.378972,3.70909,5.84921,1.35537,-1.20377,1.85668,-0.42224,1.84174,-87.1023,0.125071,1.2241,1.9304,0.447309,-0.397278,0.612755,-0.139351,0.607823
-0.311349,-8.96644,4.72727,0.368445,-0.311349,1.94861,2.82608,5.89456,1.05777,-0.257287,3.92742,-2.7015,0.814714,-83.4751,0.412206,0.597824,1.24693,0.223759,-0.0544261,0.8308,-0.571471,0.172343
-0.305182,-9.9786,5.6545,0.368322,-0.305182,-0.890638,2.84646,6.2088,1.15466,-0.812399,3.80538,-1.82194,1.28705,-81.0647,-0.15751,0.503398,1.09803,0.204201,-0.143673,0.672982,-0.32221,0.227614
-0.277085,-13.2278,6.53555,0.366912,-0.277085,-2.5335,4.71601,8.11603,2.5941,-4.58507,5.14859,3.56162,-3.04658,-85.9644,-0.387649,0.721593,1.24183,0.396921,-0.701559,0.787782,0.544961,-0.466155
-0.299236,-12.6357,4.29376,0.359685,-0.299236,-3.96414,2.88175,6.62238,1.12761,-1.73513,4.28953,1.14751,-0.986497,-82.9155,-0.923232,0.671149,1.54232,0.262616,-0.404104,0.999014,0.267251,-0.229751
-0.324685,-15.0298,5.07576,0.362482,-0.324685,-1.25958,3.12619,7.44605,1.90644,-3.28045,5.63694,2.50391,-4.63616,-83.4548,-0.248156,0.615906,1.46698,0.375596,-0.646298,1.11056,0.493307,-0.913391
-0.314745,-9.04496,3.39859,0.362578,-0.314745,-1.70453,3.54829,6.34138,1.52162,-2.65229,2.68757,-0.0120853,0.112299,-83.4418,-0.50154,1.04405,1.86589,0.447721,-0.780409,0.790791,-0.00355596,0.0330427
-0.315999,-10.8305,3.92796,0.371902,-0.315999,1.12324,3.47165,6.62247,1.49283,-2.7892,4.74231,0.226505,-1.11792,-81.1146,0.285961,0.88383,1.68598,0.380052,-0.71009,1.20732,0.0576647,-0.284605
-0.311939,-11.8541,4.76603,0.365703,-0.311939,-2.74815,5.14137,8.25939,2.42072,-4.10761,4.46499,3.6096,-1.20709,-82.7519,-0.576613,1.07875,1.73297,0.507912,-0.861852,0.936837,0.757361,-0.253269
-0.306806,-12.0018,3.86363,0.354105,-0.306806,-2.40862,3.83419,6.88643,2.06662,-3.1345,5.16074,2.15746,-2.62385,-83.3506,-0.623409,0.992379,1.78237,0.534889,-0.811282,1.33572,0.558402,-0.679114
-0.325762,-9.008,3.23797,0.376035,-0.325762,-0.723674,3.37741,6.12731,1.40811,-0.840157,3.18809,1.36556,-0.445414,-83.2746,-0.223496,1.04306,1.89233,0.434875,-0.25947,0.984596,0.421732,-0.13756
-0.337359,-9.46507,3.12126,0.379647,-0.337359,-0.691884,3.40614,6.28513,1.31691,-0.801782,2.81846,1.24439,-0.840996,-87.9916,-0.221668,1.09127,2.01365,0.421915,-0.256878,0.902988,0.398681,-0.269441
-0.316416,-10.7158,2.93535,0.372113,-0.316416,-1.22109,2.7051,6.31594,1.08033,-0.79879,2.24394,1.36072,-2.20816,-85.6066,-0.415995,0.921562,2.15168,0.368043,-0.272128,0.764456,0.463562,-0.752267
-0.315877,-8.77685,2.86438,0.357349,-0.315877,-3.3804,2.82129,5.60373,0.577586,-2.14097,1.12783,0.775657,0.0585832,-89.4829,-1.18015,0.984957,1.95635,0.201645,-0.747446,0.393742,0.270795,0.0204524
-0.310244,-9.92363,4.38024,0.354518,-0.310244,0.548081,4.69272,7.25763,2.25175,-2.23524,5.6532,1.87608,0.527807,-84.4039,0.125126,1.07134,1.6569,0.514069,-0.5103,1.29061,0.428305,0.120497
-0.318619,-7.99079,2.55937,0.377589,-0.318619,-2.00129,3.09808,5.8505,0.593212,-1.4352,1.17957,0.366722,0.816142,-89.7629,-0.781948,1.21049,2.28592,0.231781,-0.560763,0.460882,0.143286,0.318885
-0.323387,-6.97825,2.70496,0.374826,-0.323387,-0.789817,3.45756,5.53388,0.810454,-2.25536,1.59748,-0.0292045,0.295424,-88.3953,-0.291988,1.27823,2.04582,0.299617,-0.833786,0.590574,-0.0107966,0.109216
-0.314607,-8.05047,2.78395,0.376815,-0.314607,-1.77801,4.90746,6.77265,2.01591,-2.73549,3.99688,1.50921,1.33774,-86.9151,-0.638663,1.76277,2.43275,0.724119,-0.982593,1.43569,0.54211,0.480518
-0.31791,-14.1469,3.43684,0.353346,-0.31791,-0.692668,2.15584,6.75107,1.6988,-1.33922,5.23592,-1.86547,-3.25474,-88.767,-0.201542,0.627273,1.96433,0.494292,-0.389667,1.52347,-0.542786,-0.947015
-0.322717,-13.4224,3.06535,0.354712,-0.322717,-1.12344,2.61859,6.64408,1.28878,-1.89656,4.49768,-0.703435,-3.45668,-84.3834,-0.366495,0.854256,2.16748,0.420435,-0.61871,1.46726,-0.22948,-1.12766
-0.321416,-9.89914,2.97727,0.375428,-0.321416,-2.81754,3.95273,6.80892,1.5751,-2.38776,3.99481,0.661165,1.59953,-84.1345,-0.946351,1.32764,2.28697,0.529042,-0.801999,1.34177,0.222071,0.537248
-0.313044,-6.75732,2.75888,0.35552,-0.313044,3.37013,4.62225,6.60038,1.6111,-2.21488,3.2712,-0.0118919,0.879582,-86.2969,1.22156,1.67541,2.39242,0.583969,-0.802819,1.1857,-0.00431042,0.318819
-0.326227,-15.5118,3.57075,0.370224,-0.326227,-6.28213,2.607,7.17752,1.57377,-2.30438,4.9423,1.44069,-2.66449,-83.0976,-1.75933,0.730098,2.01009,0.440738,-0.645349,1.3841,0.403471,-0.746199
-0.301558,-9.16258,4.52057,0.363087,-0.301558,4.01614,5.42384,7.63449,2.59982,-3.382,4.91047,0.986629,-2.22412,-84.4131,0.888414,1.19981,1.68883,0.575108,-0.748137,1.08625,0.218253,-0.491999
-0.325337,-5.26639,3.7683,0.362973,-0.325337,0.103907,3.61235,5.24275,0.985181,-1.43083,1.22201,-0.211149,1.68839,-86.7977,0.0275738,0.958616,1.39128,0.261439,-0.3797,0.324287,-0.0560328,0.448052
-0.303581,-9.34025,3.64366,0.362748,-0.303581,0.54524,3.1164,6.4101,1.03551,-1.80723,2.81962,-1.76526,0.721144,-83.203,0.149641,0.855294,1.75925,0.284194,-0.495994,0.773843,-0.484476,0.197918
-0.311649,-6.51132,3.85358,0.376429,-0.311649,0.513831,4.57924,6.16658,1.64952,-1.9552,2.90216,2.00682,0.804755,-84.1054,0.133339,1.18831,1.60022,0.428049,-0.507373,0.753107,0.520768,0.208833
-0.321214,-13.4377,3.3011,0.353983,-0.321214,-3.40008,3.16673,6.90062,1.44826,-3.31034,4.92474,0.271369,-1.43772,-85.066,-1.02998,0.959296,2.0904,0.438719,-1.0028,1.49185,0.0822056,-0.435528
-0.322257,-12.2044,3.11576,0.377743,-0.322257,-3.96151,2.82457,6.47021,1.2698,-1.28924,4.51107,2.1205,-0.0789786,-85.4705,-1.27145,0.906543,2.07661,0.40754,-0.413781,1.44783,0.680573,-0.0253481
-0.333471,-10.4144,4.32417,0.373075,-0.333471,0.463959,4.52455,7.1122,2.28939,-4.45107,4.38848,-1.04607,-2.22253,-83.3731,0.107294,1.04634,1.64476,0.52944,-1.02935,1.01487,-0.241912,-0.513978
-0.316969,-13.8952,2.3708,0.354774,-0.316969,-3.62417,2.88168,6.91006,1.52979,-2.30104,5.23617,1.58115,-2.02929,-87.0182,-1.52867,1.21549,2.91465,0.645262,-0.970576,2.20861,0.666925,-0.855951
-0.31611,-6.38379,1.96978,0.375244,-0.31611,1.99066,3.29524,5.42428,0.885592,-1.20266,2.42727,0.568806,0.935366,-89.1763,1.0106,1.6729,2.75375,0.449589,-0.610558,1.23225,0.288766,0.474858
-0.318835,-8.10185,1.95641,0.369117,-0.318835,1.94948,3.41093,6.31137,0.881075,-0.829169,2.23375,-0.0523898,0.520735,-91.2525,0.996455,1.74346,3.22599,0.450353,-0.423821,1.14176,-0.0267785,0.266169
-0.311981,-13.8067,2.87702,0.365745,-0.311981,-3.12987,1.54776,6.12844,0.652899,-1.83276,3.83349,-1.02093,-1.28891,-88.0472,-1.08789,0.537973,2.13014,0.226936,-0.637033,1.33245,-0.354858,-0.448003
-0.315551,-10.6632,3.29804,0.360339,-0.315551,-0.980282,3.01371,6.63657,1.19204,-1.87879,3.25276,0.317926,-0.19492,-83.5409,-0.297232,0.913788,2.01227,0.36144,-0.569668,0.986271,0.0963984,-0.0591016
-0.312351,-11.2506,3.44907,0.363135,-0.312351,-1.58047,3.09195,6.69086,1.30052,-1.31669,4.25078,0.625426,-0.167164,-81.7472,-0.45823,0.89646,1.9399,0.377065,-0.381753,1.23244,0.181332,-0.0484665
-0.298993,-10.5936,3.83239,0.358796,-0.298993,-0.967688,2.53691,5.78431,0.864351,-2.42992,3.29318,-1.40487,-0.879878,-84.7909,-0.252502,0.661965,1.50932,0.225538,-0.634047,0.8593,-0.366577,-0.22959
-0.304622,-9.12079,4.49382,0.369784,-0.304622,0.646585,5.02208,7.23891,2.31868,-2.4078,4.35535,2.45926,-0.894546,-83.5993,0.143883,1.11755,1.61086,0.515971,-0.535802,0.969185,0.547252,-0.199061
-0.31101,-8.00687,4.38981,0.377161,-0.31101,1.75036,4.51685,6.48119,1.62127,-3.24015,2.58433,2.82554,-2.2334,-86.0348,0.398734,1.02894,1.47642,0.369327,-0.738107,0.588711,0.643659,-0.508769
-0.315755,-7.31767,4.46567,0.377609,-0.315755,0.821602,4.49052,6.04781,1.7917,-3.12081,3.00229,2.30252,-1.52325,-85.1488,0.183982,1.00556,1.35429,0.401216,-0.698843,0.672304,0.515603,-0.341102
-0.301969,-12.0109,3.32587,0.360125,-0.301969,-3.16351,3.06733,6.99274,1.18429,-1.46499,4.37145,0.0665301,1.48062,-84.1063,-0.951181,0.922264,2.10253,0.356084,-0.440484,1.31438,0.0200038,0.445182
-0.328965,-13.5845,3.62241,0.377462,-0.328965,-2.5657,3.59776,7.28091,2.29687,-2.86619,4.61944,1.37111,-4.77952,-86.0583,-0.708285,0.993197,2.00996,0.634074,-0.791238,1.27524,0.378507,-1.31943
-0.30782,-12.9069,2.37768,0.372768,-0.30782,-2.76681,1.67702,5.94014,0.581489,-1.83533,4.58836,-0.559287,0.240535,-89.3965,-1.16366,0.705318,2.49829,0.244561,-0.7719,1.92976,-0.235224,0.101164
-0.330048,-12.5749,3.21526,0.370651,-0.330048,-0.688027,2.20194,6.50145,1.54859,-0.469394,4.29171,-1.86785,-2.3819,-87.917,-0.213988,0.684842,2.02206,0.481638,-0.14599,1.3348,-0.580934,-0.740811
-0.311221,-10.1894,4.70276,0.359719,-0.311221,-0.573938,4.32301,7.01107,1.5596,-3.70153,3.76345,1.69479,-1.35664,-81.3939,-0.122043,0.919248,1.49084,0.331634,-0.787096,0.800264,0.360381,-0.288476
-0.302366,-11.8581,5.62366,0.365612,-0.302366,-0.810287,1.99795,6.01159,0.663516,-1.25209,3.69579,0.751785,-1.47928,-82.9117,-0.144085,0.355275,1.06898,0.117987,-0.222647,0.657187,0.133683,-0.263046
-0.297305,-9.99797,7.1344,0.358059,-0.297305,-2.17991,3.9768,6.86507,1.84611,-1.92324,4.27916,-0.964869,0.92597,-82.6697,-0.30555,0.557412,0.962248,0.258761,-0.269573,0.599793,-0.135242,0.129789
-0.335762,-9.53266,3.6929,0.375563,-0.335762,-1.92376,4.02513,6.80959,1.55571,-3.07888,3.76424,1.19519,1.53676,-84.0869,-0.520933,1.08996,1.84397,0.42127,-0.833728,1.01932,0.323644,0.416139
-0.298532,-8.7314,2.16772,0.355522,-0.298532,0.164048,4.94099,7.15896,2.18717,-2.57433,4.22973,1.96649,0.193159,-90.6038,0.0756775,2.27934,3.30253,1.00897,-1.18757,1.95123,0.907168,0.0891068
-0.339234,-9.77968,2.16807,0.377525,-0.339234,-1.49157,1.69731,5.47863,0.453952,0.112445,2.731,-3.56358,1.88827,-90.3117,-0.68797,0.782868,2.52696,0.209381,0.0518643,1.25964,-1.64367,0.870947
-0.313661,-11.4118,2.52233,0.380534,-0.313661,-0.779226,1.5803,5.60131,0.41911,0.530174,3.87571,1.26377,0.00760462,-89.596,-0.308931,0.626523,2.22069,0.16616,0.210192,1.53656,0.501032,0.00301492
-0.321799,-9.52412,5.35558,0.360155,-0.321799,-0.633649,3.99731,6.73477,2.11224,-3.60082,3.54588,-4.13456,-0.221919,-85.63,-0.118316,0.746382,1.25753,0.394401,-0.672349,0.662091,-0.77201,-0.041437
-0.326033,-7.07802,4.65048,0.358787,-0.326033,0.38361,3.29248,5.54774,0.863742,-1.74925,1.87571,1.13402,0.299152,-84.0204,0.0824881,0.707987,1.19294,0.185732,-0.376145,0.403337,0.243851,0.0643271
-0.328601,-6.2373,4.96655,0.358852,-0.328601,0.592764,3.58382,5.57852,0.661272,-1.90046,1.33669,0.969898,1.04955,-86.887,0.119351,0.721593,1.12322,0.133145,-0.382652,0.269138,0.195286,0.211325
-0.321409,-7.88139,4.41402,0.363984,-0.321409,1.40846,2.61292,5.72938,1.09972,0.508321,3.61202,-3.65371,2.86198,-86.4862,0.319089,0.59196,1.298,0.249142,0.115161,0.818306,-0.827751,0.648385
-0.323219,-9.44304,5.11736,0.366256,-0.323219,-3.01712,3.30807,6.5573,1.09803,-1.5992,2.90406,-1.30252,2.79028,-83.497,-0.589585,0.646441,1.28138,0.214571,-0.312505,0.567492,-0.25453,0.545259
-0.318655,-11.8334,4.18503,0.371921,-0.318655,0.835941,3.22777,6.82344,1.20645,-2.44084,4.43343,0.225942,-1.76941,-80.9182,0.199746,0.771267,1.63044,0.288279,-0.583231,1.05935,0.0539882,-0.422795
-0.302419,-12.0524,4.93649,0.381058,-0.302419,1.32455,3.9947,7.53746,1.94167,-2.22906,5.0552,0.913923,-2.52443,-83.0295,0.268318,0.809218,1.52689,0.39333,-0.451547,1.02405,0.185136,-0.511382
