b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.30145,0.0084861,3.2726,0.411261,-0.30145,2.82712,-175.08,0.863877
-0.337722,0.0566885,1.27715,0.427836,-0.337722,2.97419,-179.303,2.32876
-0.328728,0.0347365,1.80023,0.417014,-0.328728,2.89089,-175.092,1.60585
-0.324638,0.034063,1.92557,0.42518,-0.324638,2.90586,-174.817,1.50909
-0.34531,0.0424824,2.54724,0.407187,-0.34531,2.79339,-176.944,1.09663
-0.268738,0.0161512,1.99895,0.432552,-0.268738,2.37019,-180.427,1.18572
-0.31179,0.0392565,2.16679,0.433072,-0.31179,2.70851,-175.302,1.25001
-0.310704,0.0327139,2.62941,0.425881,-0.310704,3.48774,-175.648,1.32644
-0.309508,0.0381217,2.18257,0.427355,-0.309508,2.92818,-174.787,1.34162
-0.318713,0.0368722,1.57899,0.429504,-0.318713,3.4455,-177.445,2.18209
-0.316573,0.00435391,3.35759,0.411662,-0.316573,3.64694,-176.933,1.08618
-0.312208,-0.00175976,2.62307,0.405043,-0.312208,2.38407,-177.694,0.908884
-0.330729,0.0142388,2.71277,0.442346,-0.330729,3.41806,-177.357,1.25999
-0.326751,0.0015771,2.28323,0.44052,-0.326751,2.23677,-178.617,0.979649
-0.321987,0.0118017,2.79892,0.445654,-0.321987,3.50696,-178.006,1.25297
-0.321942,0.0321684,4.57477,0.402201,-0.321942,3.22356,-175.612,0.704638
-0.327248,0.0351852,3.18427,0.39783,-0.327248,2.5939,-176.612,0.814598
-0.289861,0.0334195,2.93094,0.41009,-0.289861,2.90328,-175.724,0.990561
-0.289623,0.0344013,2.95224,0.409269,-0.289623,3.09903,-176.051,1.04972
-0.293129,0.0206532,1.8542,0.415816,-0.293129,3.23615,-176.357,1.74531
-0.307649,0.0318375,1.96506,0.42596,-0.307649,3.32491,-175.697,1.69202
-0.338173,0.0449952,2.02446,0.415991,-0.338173,2.28111,-177.281,1.12677
